Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR562413_1 - illumina_universal_adapter	(1, 7.708352925397019e-05)	(2, 7.708352925397019e-05)	(3, 7.708352925397019e-05)	(4, 7.708352925397019e-05)	(5, 7.708352925397019e-05)	(6, 7.708352925397019e-05)	(7, 0.00011562529388095527)	(8, 0.00011562529388095527)	(9, 0.00015416705850794038)	(12, 0.00021583388191111653)	(17, 0.0004779178813746151)	(22, 0.000824793763017481)	(27, 0.0019425049372000485)	(32, 0.0027056318768143533)	(37, 0.0029214657587254703)	(42, 0.0030987578760096014)	(47, 0.0032297998757413516)	(52, 0.0033531335225477034)	(57, 0.0035150089339810405)	(62, 0.004293552579446139)	(67, 0.005418972106554104)	(72, 0.0058198064586747495)	(77, 0.005950848458406499)	(82, 0.006367099516377937)	(87, 0.006991476103335096)	(92, 0.0075310608081128865)	(97, 0.008240229277249413)	(102, 0.009712524686000243)	(107, 0.011955655387290775)	(112, 0.015154621851330537)	(117, 0.03148862170024682)	(122, 0.04931804201669012)	(127, 0.08898522617078318)	(132, 2.364968927629358)	(137, 3.498250974721228)	(140, 4.196697124938526)
ERR562413_2 - illumina_universal_adapter	(1, 7.708352925397019e-05)	(2, 7.708352925397019e-05)	(3, 7.708352925397019e-05)	(4, 7.708352925397019e-05)	(5, 7.708352925397019e-05)	(6, 7.708352925397019e-05)	(7, 7.708352925397019e-05)	(8, 7.708352925397019e-05)	(9, 0.00011562529388095527)	(12, 0.0001695837643587344)	(17, 0.000385417646269851)	(22, 0.000770835292539702)	(27, 0.0021968805837381503)	(32, 0.0031989664640397625)	(37, 0.003522717286906437)	(42, 0.0038156346980715247)	(47, 0.004008343521206449)	(52, 0.004255010814819154)	(57, 0.004586469990611226)	(62, 0.005025846107358856)	(67, 0.005526889047509662)	(72, 0.00607418210521285)	(77, 0.006451891398557304)	(82, 0.006983767750409699)	(87, 0.007746894690024003)	(92, 0.008494604923787515)	(97, 0.00948898245116373)	(102, 0.01122336185937806)	(107, 0.01349732597237018)	(112, 0.01658837549545438)	(117, 0.03132674628881348)	(122, 0.04803074707814882)	(127, 0.08702730452773236)	(132, 2.2787972502763445)	(137, 3.369683356278531)	(140, 4.037018594088926)
ERR562431_1 - illumina_universal_adapter	(1, 4.4994274478572605e-05)	(2, 4.4994274478572605e-05)	(3, 4.4994274478572605e-05)	(4, 4.4994274478572605e-05)	(5, 4.4994274478572605e-05)	(6, 4.4994274478572605e-05)	(7, 4.4994274478572605e-05)	(8, 4.4994274478572605e-05)	(9, 0.00022497137239286302)	(12, 0.0003329576311414372)	(17, 0.0006029232780128729)	(22, 0.0008818877797800229)	(27, 0.007298071320424477)	(32, 0.011428545717557439)	(37, 0.011815496478073164)	(42, 0.012166451819006031)	(47, 0.01248141174035604)	(52, 0.012805370516601763)	(57, 0.013084335018368911)	(62, 0.0136332651670075)	(67, 0.01433517584887323)	(72, 0.014596142640848953)	(77, 0.014866108287720389)	(82, 0.015343047597193257)	(87, 0.016053957133954706)	(92, 0.01689984949415187)	(97, 0.01765575330539189)	(102, 0.018753613602669063)	(107, 0.020220426950670528)	(112, 0.022362154415850582)	(117, 0.024593870429987785)	(122, 0.02891332077993075)	(127, 0.0598693816211887)	(132, 1.7735573148316877)	(137, 2.869698830823778)	(140, 4.087414876456971)
ERR562431_2 - illumina_universal_adapter	(1, 4.4994274478572605e-05)	(2, 4.4994274478572605e-05)	(3, 4.4994274478572605e-05)	(4, 4.4994274478572605e-05)	(5, 4.4994274478572605e-05)	(6, 4.4994274478572605e-05)	(7, 4.4994274478572605e-05)	(8, 4.4994274478572605e-05)	(9, 0.00022497137239286302)	(12, 0.00028796335666286463)	(17, 0.0005939244231171583)	(22, 0.0008818877797800229)	(27, 0.007721017500523059)	(32, 0.012112458689631744)	(37, 0.012589397999104615)	(42, 0.012976348759620338)	(47, 0.01338129722992749)	(52, 0.013723253715964643)	(57, 0.014110204476480367)	(62, 0.014560147221266093)	(67, 0.015064083095426107)	(72, 0.015415038436358972)	(77, 0.01579299034197898)	(82, 0.01636891705530471)	(87, 0.017214809415501874)	(92, 0.018213682308926192)	(97, 0.019185558637663355)	(102, 0.020499391452437676)	(107, 0.021975203655334858)	(112, 0.02418892195968063)	(117, 0.0264026402640264)	(122, 0.030884070002092236)	(127, 0.06062528543242872)	(132, 1.6397353436775173)	(137, 2.6543742308791205)	(140, 3.802016193439385)
ERR562434_1 - illumina_universal_adapter	(1, 0.00013485776551471162)	(2, 0.00013485776551471162)	(3, 0.00013485776551471162)	(4, 0.00013485776551471162)	(5, 0.00017981035401961552)	(6, 0.00017981035401961552)	(7, 0.00017981035401961552)	(8, 0.00022476294252451938)	(9, 0.00044952588504903877)	(12, 0.0005034689912549234)	(17, 0.0007372224514804236)	(22, 0.0011328052303235777)	(27, 0.006320333943789486)	(32, 0.00981764532947101)	(37, 0.010042408271995526)	(42, 0.010303133285323968)	(47, 0.010473953121642603)	(52, 0.010572848816353392)	(57, 0.010635782440260259)	(62, 0.01134603333863774)	(67, 0.012406914427353472)	(72, 0.012784516170794662)	(77, 0.013404861892162338)	(82, 0.013728520529397645)	(87, 0.014573629193289837)	(92, 0.015346813715574184)	(97, 0.017315737092088973)	(102, 0.01888907768976061)	(107, 0.02133449850442738)	(112, 0.02444521762896673)	(117, 0.029605774789329697)	(122, 0.03871316922042322)	(127, 0.055912029582399436)	(132, 0.8742649127964736)	(137, 1.296900159401879)	(140, 1.6716069561433555)
ERR562434_2 - illumina_universal_adapter	(1, 0.00017981035401961552)	(2, 0.00017981035401961552)	(3, 0.00017981035401961552)	(4, 0.00017981035401961552)	(5, 0.00017981035401961552)	(6, 0.00017981035401961552)	(7, 0.00017981035401961552)	(8, 0.00022476294252451938)	(9, 0.00040457329654413493)	(12, 0.0004225543319460965)	(17, 0.0006473172744706158)	(22, 0.0010608810887157317)	(27, 0.006626011545622831)	(32, 0.010455972086240642)	(37, 0.01077064020577497)	(42, 0.011040355736804393)	(47, 0.011480891104152449)	(52, 0.011651710940471082)	(57, 0.011831521294490702)	(62, 0.011966379060005413)	(67, 0.012110227343221104)	(72, 0.012532781675167201)	(77, 0.013350918785956453)	(82, 0.013647605870088819)	(87, 0.014456752463177088)	(92, 0.015167003361554568)	(97, 0.01717188880887328)	(102, 0.018394599216206668)	(107, 0.0203904941458244)	(112, 0.02287187703129509)	(117, 0.026809723784324675)	(122, 0.034514597454065196)	(127, 0.047784601580712814)	(132, 0.5659530892767398)	(137, 0.8267859888175941)	(140, 1.012422198307445)
ERR562441_1 - illumina_universal_adapter	(1, 0.0002511804223950455)	(2, 0.0005525969292691002)	(3, 0.0005525969292691002)	(4, 0.0005525969292691002)	(5, 0.0005525969292691002)	(6, 0.0005525969292691002)	(7, 0.0005525969292691002)	(8, 0.0006028330137481092)	(9, 0.0006028330137481092)	(12, 0.000612880230643911)	(17, 0.000673163532018722)	(22, 0.0008138245685599475)	(27, 0.0025519930915336624)	(32, 0.00369737581765507)	(37, 0.003938509023154313)	(42, 0.0041294061441745486)	(47, 0.004551389253798224)	(52, 0.004953277929630297)	(57, 0.005184363918233739)	(62, 0.005455638774420389)	(67, 0.006058471788168497)	(72, 0.0068421547060410395)	(77, 0.007907159696996032)	(82, 0.009293675628616684)	(87, 0.011765290984983934)	(92, 0.01572389444192985)	(97, 0.022375152026950652)	(102, 0.031166466810777248)	(107, 0.04555408140556545)	(112, 0.06419166874727783)	(117, 0.09012353555534233)	(122, 0.1229980292384059)	(127, 0.26735644159728644)	(132, 14.025522945080406)	(137, 22.327206707923885)	(140, 23.08257656858406)
ERR562441_2 - illumina_universal_adapter	(1, 0.00040188867583207285)	(2, 0.0007535412671851366)	(3, 0.0007535412671851366)	(4, 0.0007535412671851366)	(5, 0.0007535412671851366)	(6, 0.0007535412671851366)	(7, 0.0007535412671851366)	(8, 0.0008037773516641457)	(9, 0.0008037773516641457)	(12, 0.0008339190023515513)	(17, 0.0009243439544137675)	(22, 0.001075052207850795)	(27, 0.002984023418053141)	(32, 0.00424997274692417)	(37, 0.004491105952423413)	(42, 0.004722191941026856)	(47, 0.0052848360871917575)	(52, 0.005968046836106281)	(57, 0.00623932169229293)	(62, 0.006590974283645993)	(67, 0.007183760080498302)	(72, 0.00804782073353726)	(77, 0.009183156242762865)	(82, 0.010800758162986956)	(87, 0.013392940122103828)	(92, 0.017391732446632953)	(97, 0.024143462200611775)	(102, 0.03304529637029219)	(107, 0.04740276931439299)	(112, 0.06669342575433249)	(117, 0.09337883382958213)	(122, 0.1289962177251996)	(127, 0.30778644238599295)	(132, 15.620850185446505)	(137, 24.954664445561917)	(140, 26.073130677619474)
ERR562452_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 5.80614936536973e-05)	(27, 0.0015821757020632516)	(32, 0.0025474480340559684)	(37, 0.0025764787808828177)	(42, 0.0026490556479499393)	(47, 0.002721632515017061)	(52, 0.0027942093820841826)	(57, 0.0028450131890311674)	(62, 0.0030554861035258203)	(67, 0.003396597378741292)	(72, 0.0038175432077305975)	(77, 0.004115108362705796)	(82, 0.004528796504988389)	(87, 0.005457780403447547)	(92, 0.008056032244450501)	(97, 0.016061260681954015)	(102, 0.01895707767793217)	(107, 0.024131808299817942)	(112, 0.05808326671381744)	(117, 0.1296658307021195)	(122, 0.2982256044655095)	(127, 0.5703743405938022)	(132, 5.399856805841276)	(137, 9.745070125583382)	(140, 11.054509218895097)
ERR562452_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 4.354612024027297e-05)	(27, 0.0015241142084095542)	(32, 0.0024821288536955597)	(37, 0.0026055095277096665)	(42, 0.0026563133346566513)	(47, 0.002757920948550622)	(52, 0.00285227087573788)	(57, 0.0029175900560982895)	(62, 0.0030119399832855475)	(67, 0.0031570937174197912)	(72, 0.0035417511128755354)	(77, 0.003904635448211144)	(82, 0.0042602620968400385)	(87, 0.005276338235779741)	(92, 0.007947166943849818)	(97, 0.015814499333925803)	(102, 0.018456297295169028)	(107, 0.023507647243040695)	(112, 0.05564468398036215)	(117, 0.12391774283040347)	(122, 0.28525611832061487)	(127, 0.5375333082459296)	(132, 4.985791263849935)	(137, 9.038614159238726)	(140, 10.125416455135339)
ERR562457_1 - illumina_universal_adapter	(1, 0.0001254921383358404)	(2, 0.0001254921383358404)	(3, 0.0001254921383358404)	(4, 0.0001254921383358404)	(5, 0.0001254921383358404)	(6, 0.0001254921383358404)	(7, 0.0001254921383358404)	(8, 0.0001254921383358404)	(9, 0.0006274606916792019)	(12, 0.0006441929767906472)	(17, 0.000819881970460824)	(22, 0.0010708662471325045)	(27, 0.008809548111175996)	(32, 0.013745572219052381)	(37, 0.014021654923391233)	(42, 0.014180611631949966)	(47, 0.014247540772395744)	(52, 0.014339568340508696)	(57, 0.014431595908621645)	(62, 0.014565454189513207)	(67, 0.014816438466184889)	(72, 0.014950296747076453)	(77, 0.01535187158975114)	(82, 0.015477363728086979)	(87, 0.01592913542609601)	(92, 0.016539863832663763)	(97, 0.01720915523712158)	(102, 0.01814616320336252)	(107, 0.02022096655718175)	(112, 0.023015258170793126)	(117, 0.030335632907050485)	(122, 0.0505482333216765)	(127, 0.15587796809822524)	(132, 1.1443293449143055)	(137, 2.4772064446069337)	(140, 2.935261115675307)
ERR562457_2 - illumina_universal_adapter	(1, 0.00016732285111445384)	(2, 0.00016732285111445384)	(3, 0.00016732285111445384)	(4, 0.00016732285111445384)	(5, 0.00016732285111445384)	(6, 0.00016732285111445384)	(7, 0.00016732285111445384)	(8, 0.00016732285111445384)	(9, 0.0006692914044578154)	(12, 0.0006860236895692608)	(17, 0.0008617126832394373)	(22, 0.001112696959911118)	(27, 0.00931988280707508)	(32, 0.014548721904401762)	(37, 0.014774607753406273)	(42, 0.014967029032187898)	(47, 0.015318407019528251)	(52, 0.015761812574981555)	(57, 0.015979332281430343)	(62, 0.016071359849543294)	(67, 0.01625541498576919)	(72, 0.016380907124105032)	(77, 0.016765749681668274)	(82, 0.01690797410511556)	(87, 0.017409942658458924)	(92, 0.018104332490583908)	(97, 0.018832186892931778)	(102, 0.019677167291059776)	(107, 0.021643210791654606)	(112, 0.024236714983928636)	(117, 0.031004924311508298)	(122, 0.04762008342717357)	(127, 0.13487058414080552)	(132, 0.6949670959613283)	(137, 1.4568466000833267)	(140, 1.7216684765421728)
ERR562470_1 - illumina_universal_adapter	(1, 0.0042882697444191235)	(2, 0.006126099634884462)	(3, 0.006126099634884462)	(4, 0.006126099634884462)	(5, 0.006248621627582151)	(6, 0.006371143620279841)	(7, 0.006738709598372908)	(8, 0.006861231591070598)	(9, 0.007351319561861354)	(12, 0.00786591193119165)	(17, 0.00967923742311745)	(22, 0.012693278443480605)	(27, 0.018280281310495236)	(32, 0.02266656864907251)	(37, 0.023867284177509863)	(42, 0.024602416133696)	(47, 0.026072680046068268)	(52, 0.027150873581807934)	(57, 0.02795951873361268)	(62, 0.0657207968830405)	(67, 0.12239947070499155)	(72, 0.1244333357837732)	(77, 0.12717782842020142)	(82, 0.13016736504202503)	(87, 0.13381852042441617)	(92, 0.13761670219804456)	(97, 0.1454826141292362)	(102, 0.15886201573182385)	(107, 0.17449582200004898)	(112, 0.19525104756303757)	(117, 0.220784630841236)	(122, 0.2550417799995099)	(127, 0.31407287608125656)	(132, 1.0564336298365558)	(137, 1.532235536278762)	(140, 1.7159205077311377)
ERR562470_2 - illumina_universal_adapter	(1, 0.006371143620279841)	(2, 0.00808645151804749)	(3, 0.00808645151804749)	(4, 0.00808645151804749)	(5, 0.008208973510745178)	(6, 0.008208973510745178)	(7, 0.008454017496140557)	(8, 0.008576539488838247)	(9, 0.009066627459629004)	(12, 0.00955671543041976)	(17, 0.011296527726726948)	(22, 0.014702639123722711)	(27, 0.02070621676590948)	(32, 0.02595015805337058)	(37, 0.02818005832046852)	(42, 0.029552304638682643)	(47, 0.03180670930432013)	(52, 0.03362003479624593)	(57, 0.035114803107157734)	(62, 0.036903624200543994)	(67, 0.039109020069102406)	(72, 0.04119189394496312)	(77, 0.04462250974049842)	(82, 0.048200151927270944)	(87, 0.0519248205052807)	(92, 0.05611507265554168)	(97, 0.06385846259403563)	(102, 0.07655174103751623)	(107, 0.09211203411012277)	(112, 0.11340635644098115)	(117, 0.13844985174838884)	(122, 0.17238844372564874)	(127, 0.23556078316057733)	(132, 1.0253865568869611)	(137, 1.5352495772991253)	(140, 1.7531671935112352)
ERR562498_1 - illumina_universal_adapter	(1, 6.25084581757469e-05)	(2, 9.376268726362036e-05)	(3, 9.376268726362036e-05)	(4, 9.376268726362036e-05)	(5, 9.376268726362036e-05)	(6, 9.376268726362036e-05)	(7, 9.376268726362036e-05)	(8, 0.0001250169163514938)	(9, 0.00015627114543936726)	(12, 0.0001937762203448154)	(17, 0.0002812880617908611)	(22, 0.0003625490574193321)	(27, 0.0026628603182868187)	(32, 0.004156812468687169)	(37, 0.004219320926862917)	(42, 0.00425057515595079)	(47, 0.004281829385038663)	(52, 0.004288080230856238)	(57, 0.004356839534849559)	(62, 0.00465062928827557)	(67, 0.005006927499877327)	(72, 0.005138195262046395)	(77, 0.005263212178397889)	(82, 0.005488242627830578)	(87, 0.005825788301979612)	(92, 0.006338357659020737)	(97, 0.0070259506989539516)	(102, 0.00788856742177926)	(107, 0.009263753501645693)	(112, 0.011051495405472053)	(117, 0.01728358868559402)	(122, 0.043580897040130746)	(127, 0.08174231075642421)	(132, 1.015618675902083)	(137, 1.6156186133936248)	(140, 2.1089728703915247)
ERR562498_2 - illumina_universal_adapter	(1, 0.0002812880617908611)	(2, 0.00034379651996660796)	(3, 0.00034379651996660796)	(4, 0.00034379651996660796)	(5, 0.00034379651996660796)	(6, 0.00034379651996660796)	(7, 0.00034379651996660796)	(8, 0.00034379651996660796)	(9, 0.00037505074905448146)	(12, 0.0004063049781423549)	(17, 0.0005000676654059752)	(22, 0.000606332044304745)	(27, 0.0029003924593546566)	(32, 0.004431849684660456)	(37, 0.004488107297018628)	(42, 0.0045006089886537775)	(47, 0.004569368292647099)	(52, 0.0045943716759173974)	(57, 0.004644378442457996)	(62, 0.004925666504248856)	(67, 0.005063185112235499)	(72, 0.005281964715850613)	(77, 0.00546323924456028)	(82, 0.0057070222314456924)	(87, 0.006050818751412301)	(92, 0.006644649104081896)	(97, 0.007388499756373285)	(102, 0.008507401157719151)	(107, 0.00991384146667346)	(112, 0.011801596903581015)	(117, 0.01843374431602776)	(122, 0.04501859157817292)	(127, 0.08353630350606817)	(132, 1.2181898363122259)	(137, 1.9414877075554287)	(140, 2.678393670143491)
