.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1756062_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756071_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756071_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756073_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756073_2	1	1	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756075_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756075_2	1	0.25	1	1	0.25	0.5	0.25	0.5	0.25	0.25	1
ERR1756080_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756080_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756084_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756084_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756086_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756086_2	1	1	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756092_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756092_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756095_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756095_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756101_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756101_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756105_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756105_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756107_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756107_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756111_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756111_2	1	0.25	1	1	0.25	1	0.25	0.5	0.25	0.25	1
ERR1756115_1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756115_2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.25	1
ERR1756118_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756118_2	1	0.25	1	1	0.25	0.25	0.25	0.5	0.25	0.25	1
ERR1756127_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR1756127_2	1	1	1	1	0.25	1	0.5	0.5	0.25	0.25	1
ERR1756130_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR1756130_2	1	1	1	1	0.25	0.5	0.5	0.5	0.25	0.25	1
ERR1756131_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
