Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR1755910_1	(1, 0.0)	(2, 0.0022655744080714866)	(3, 0.0005663936020178716)	(4, 9.439893366964527e-05)	(5, 0.0)	(6, 0.0003775957346785811)	(7, 0.0)	(8, 0.0018879786733929055)	(9, 0.0)	(12, 0.003851476493721527)	(17, 0.05622400489364072)	(22, 0.0)	(27, 9.439893366964527e-05)	(32, 1.922918652080175e-05)	(37, 0.0)	(42, 0.00026423666499181275)	(47, 0.033039844637828795)	(52, 0.00010623650796348865)	(57, 2.179539572265359e-05)	(62, 0.06419186752515095)	(67, 0.0006831717935673454)	(72, 0.28879478096516686)	(77, 0.0)	(82, 0.0)	(87, 2.4814129761025045e-05)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755910_2	(1, 0.0)	(2, 0.3131212629822134)	(3, 9.423467952506009)	(4, 25.019776576603793)	(5, 0.0007551914693571622)	(6, 0.006324728555866233)	(7, 0.005663936020178716)	(8, 0.04200752548299214)	(9, 0.004625547749812618)	(12, 0.0011516669907696722)	(17, 0.0015859020856500404)	(22, 0.0007740712560910911)	(27, 0.003511640332510804)	(32, 0.00026663086195091897)	(37, 5.824788045670998e-05)	(42, 0.00011800653913568864)	(47, 0.0002601208521479079)	(52, 0.00014305254095032255)	(57, 0.00016725187400498204)	(62, 0.00010711011969984317)	(67, 0.0001529582229575871)	(72, 0.00024431506604391496)	(77, 0.0)	(82, 2.349274097796522e-05)	(87, 0.00012043566880576472)	(92, 4.945164309265631e-05)	(97, 5.0815835535564605e-05)	(102, 5.248774870335578e-05)	(107, 0.0)	(112, 5.7180514596041104e-05)	(117, 0.00018355303612017828)	(122, 0.0002960135850501299)	(127, 0.0002533925644485888)	(132, 4.2187204030396725e-05)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755912_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 8.289791205028919e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.017657255266711597)	(9, 0.004973874723017351)	(12, 0.005836013008340359)	(17, 0.0845890294561151)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755912_2	(1, 0.0)	(2, 0.07800693523932213)	(3, 3.9520750590854865)	(4, 14.03494810176216)	(5, 0.000911877032553181)	(6, 0.0012434686807543378)	(7, 0.011357013950889618)	(8, 0.032827573171914516)	(9, 0.00033159164820115676)	(12, 0.00016579582410057838)	(17, 0.0004310691426615038)	(22, 0.041067625629713264)	(27, 0.005603898854599549)	(32, 0.05005557258544327)	(37, 0.000856855443345575)	(42, 0.00024236985085251866)	(47, 0.0001228022347199811)	(52, 0.00019617707941908046)	(57, 0.0004180064834623005)	(62, 0.0003345566956504284)	(67, 0.00024617384304448115)	(72, 0.00044228021990172533)	(77, 0.0)	(82, 0.0)	(87, 4.1755902509989054e-05)	(92, 6.442351157529444e-05)	(97, 0.0)	(102, 2.2827485388126604e-05)	(107, 2.371725802882548e-05)	(112, 2.4980078387485977e-05)	(117, 8.076759367223595e-05)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 5.791427528971616e-05)	(147, 0.0)	(150, 0.0)
ERR1755913_1	(1, 0.0)	(2, 0.0)	(3, 0.004395421358971749)	(4, 0.00034700694939250647)	(5, 0.00023133796626167102)	(6, 0.00011566898313083551)	(7, 0.00034700694939250647)	(8, 0.0006940138987850129)	(9, 0.0006940138987850129)	(12, 0.0006477463055326788)	(17, 0.07284832557580019)	(22, 0.0010178870515513525)	(27, 0.058921780006847606)	(32, 0.00037532245476836623)	(37, 0.00036362076100007344)	(42, 0.0029420614159029047)	(47, 0.00801646248635878)	(52, 0.0)	(57, 0.0)	(62, 2.6515148502066458e-05)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.00023467395720427048)	(92, 0.0)	(97, 0.0)	(102, 6.313039646520283e-05)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.043498127078430975)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755913_2	(1, 0.0)	(2, 0.20242072047896212)	(3, 1.9781709495035487)	(4, 37.63093728890411)	(5, 0.004164083392710079)	(6, 0.015615312722662793)	(7, 0.04499523443789501)	(8, 0.06650966530023042)	(9, 0.003817076443317572)	(12, 0.00997066634587802)	(17, 0.0031924639344110602)	(22, 9.253518650466839e-05)	(27, 0.00018507037300933679)	(32, 0.00011675704050792115)	(37, 0.0001905168794382991)	(42, 0.00016866169355615954)	(47, 0.00017144407837051711)	(52, 7.485211094180672e-05)	(57, 0.010611660691895508)	(62, 0.0)	(67, 5.2863077492778245e-05)	(72, 0.00021431449366057727)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 9.038907979397316e-05)	(102, 0.0)	(107, 0.00012646985638399284)	(112, 3.267371634770585e-05)	(117, 0.00020471031613755305)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 9.957471638631405e-05)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755917_1	(1, 0.0)	(2, 0.0002277250720749853)	(3, 0.0002277250720749853)	(4, 0.00037954178679164215)	(5, 0.0005313585015082991)	(6, 0.001214533717733255)	(7, 0.0002277250720749853)	(8, 0.00926081959771607)	(9, 0.011386253603749267)	(12, 0.004417866398254715)	(17, 0.09596334537239881)	(22, 0.0008957186168282756)	(27, 0.17237269788929221)	(32, 3.108922982029181e-05)	(37, 0.0)	(42, 0.00024857323108245854)	(47, 3.3746975638227026e-05)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.00035021153806933324)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 3.452934942907447e-05)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR1755917_2	(1, 0.0)	(2, 0.12828512393557506)	(3, 2.188741576070042)	(4, 24.605921762774237)	(5, 0.0009109002882999412)	(6, 0.0004554501441499706)	(7, 0.004250868012066393)	(8, 0.039320529111614134)	(9, 0.006072668588666274)	(12, 0.20048915345481708)	(17, 0.0010627170030165982)	(22, 0.0005009951585649678)	(27, 0.00016699838618832258)	(32, 0.00032226229357757336)	(37, 0.00017273763555782244)	(42, 0.0003340353377574458)	(47, 0.0002261097304061383)	(52, 9.86827010705264e-05)	(57, 0.0001509527888443876)	(62, 5.173768785307738e-05)	(67, 0.0003527065021620027)	(72, 0.0005196117604267267)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0001409918494625995)	(97, 0.00010353986222571773)	(102, 2.1269237493582006e-05)	(107, 0.0)	(112, 2.2854332427235236e-05)	(117, 9.617372822266141e-05)	(122, 0.0)	(127, 2.7681354393307755e-05)	(132, 0.0)	(137, 3.4839151123179396e-05)	(142, 4.176839010005618e-05)	(147, 0.0)	(150, 0.0)
ERR1755919_1	(1, 0.0)	(2, 0.05733641997655664)	(3, 0.00029353116028953916)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 4.892186004825652e-05)	(9, 0.7357847751257781)	(12, 0.3112506579990177)	(17, 0.0009784372009651304)	(22, 0.15458329338048096)	(27, 0.16606036174780192)	(32, 0.18491337068852023)	(37, 0.05080769229250861)	(42, 0.042806206701611185)	(47, 0.22021121755842668)	(52, 0.017891422368078263)	(57, 0.17591181191183491)	(62, 0.1832091915022755)	(67, 0.49281494958959066)	(72, 0.15631874289224434)	(77, 0.0033310117508248177)	(82, 0.3339784424558481)	(87, 0.022243147416084134)	(92, 0.004779686268329853)	(97, 0.0005270435371999956)	(102, 0.3435308130660641)	(107, 0.0037625760136685772)	(112, 0.0033879173454546)	(117, 0.24935035776199238)	(122, 0.19354270694408457)	(127, 0.0)	(132, 0.0)	(137, 0.09226769207701989)	(142, 0.21705081351261138)	(147, 0.0046277345272143205)	(150, 0.0)
ERR1755919_2	(1, 0.0)	(2, 0.013551355233367056)	(3, 6.948909923114405)	(4, 6.8408904561278545)	(5, 0.018052166357806657)	(6, 0.029304194168905656)	(7, 0.03267980251223536)	(8, 0.0236292584033079)	(9, 0.007436122727334991)	(12, 2.0870652558906815)	(17, 0.0007240435287141965)	(22, 0.024235889467906283)	(27, 0.2023799506476276)	(32, 0.19573627949545105)	(37, 0.6383745632926443)	(42, 0.0003071202866323914)	(47, 3.9818558773237984e-05)	(52, 0.15517781854124452)	(57, 0.14806204852025046)	(62, 0.0)	(67, 9.275564977239309e-05)	(72, 0.00034335410556307524)	(77, 0.31364505074643095)	(82, 3.221549503027666e-05)	(87, 7.633815052509197e-05)	(92, 0.15522164273795877)	(97, 0.011537687583949168)	(102, 0.0033935191248125837)	(107, 0.12723035716321915)	(112, 4.983752965333014e-05)	(117, 0.0022385647753222736)	(122, 0.8966793352260919)	(127, 0.19306002713402368)	(132, 0.0)	(137, 0.000571120399523196)	(142, 9.91249742894598e-05)	(147, 0.00048034092677618867)	(150, 0.0)
