Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1755913_1	(1.0, 21.817986606161973)	(2.0, 3.221640476928335)	(3.0, 1.7418855844014942)	(4.0, 1.2375710630520742)	(5.0, 0.9780736317997305)	(6.0, 0.8108278890545757)	(7.0, 0.7014454773566433)	(8.0, 0.5876129099323681)	(9.0, 0.5635275714110077)	('>10', 8.405483604666543)	('>50', 4.151125841522729)	('>100', 11.201843708253621)	('>500', 5.1268578096377215)	('>1k', 10.163440272055478)	('>5k', 6.124151606091339)	('>10k+', 23.166525947674366)
ERR1755913_2	(1.0, 19.97079057309397)	(2.0, 2.9333296018213177)	(3.0, 1.6591151505553359)	(4.0, 1.15618641186733)	(5.0, 0.9132728850163762)	(6.0, 0.7447665545372083)	(7.0, 0.6827789675777357)	(8.0, 0.5289726547943921)	(9.0, 0.5161603875346843)	('>10', 7.637849872457254)	('>50', 3.2216888922619145)	('>100', 7.593852358210743)	('>500', 6.246290747487427)	('>1k', 13.517506104751856)	('>5k', 16.68194133278334)	('>10k+', 15.995497505249126)
ERR1755917_1	(1.0, 21.118681822072013)	(2.0, 3.01369018812617)	(3.0, 1.6821387741424172)	(4.0, 1.177497558122405)	(5.0, 0.8711208358880762)	(6.0, 0.7364945364470988)	(7.0, 0.6128147356196318)	(8.0, 0.5300865920294132)	(9.0, 0.4574217814590502)	('>10', 7.922921233167422)	('>50', 3.902263820929857)	('>100', 10.359736414286768)	('>500', 5.237579662611681)	('>1k', 10.31959590064084)	('>5k', 4.048738827328396)	('>10k+', 28.009217317128766)
ERR1755917_2	(1.0, 20.888736486398688)	(2.0, 2.8529031627444614)	(3.0, 1.471288540790684)	(4.0, 1.039210477779938)	(5.0, 0.7770694890994517)	(6.0, 0.6154577199956597)	(7.0, 0.5299270345829361)	(8.0, 0.4451456768618681)	(9.0, 0.3949971352810501)	('>10', 6.592769136346481)	('>50', 3.3603746184626146)	('>100', 9.164212298501887)	('>500', 4.895841160167278)	('>1k', 12.1996338178056)	('>5k', 6.019135823926447)	('>10k+', 28.75329742125496)
ERR1755919_1	(1.0, 3.7525657309205256)	(2.0, 1.1415726512711821)	(3.0, 0.7267803676810456)	(4.0, 0.5556407379825619)	(5.0, 0.42071421465220565)	(6.0, 0.37996202081398045)	(7.0, 0.3370093664889146)	(8.0, 0.2895508464877871)	(9.0, 0.26359314204960593)	('>10', 4.4441059302190995)	('>50', 2.315868027093203)	('>100', 7.002213214201442)	('>500', 4.64358843998648)	('>1k', 15.341444114172523)	('>5k', 7.895550061281489)	('>10k+', 50.489841134697954)
ERR1755919_2	(1.0, 7.1345175255073805)	(2.0, 1.620383200513671)	(3.0, 0.9662019561130667)	(4.0, 0.7204869117543657)	(5.0, 0.5695824430723389)	(6.0, 0.4847060907889073)	(7.0, 0.4029779490697673)	(8.0, 0.38559683828686486)	(9.0, 0.3335147976945171)	('>10', 5.891339519899062)	('>50', 2.8536181504507203)	('>100', 9.81651542433739)	('>500', 5.499007800695237)	('>1k', 15.927679507733838)	('>5k', 7.757767090751766)	('>10k+', 39.636104793331114)
ERR1755921_1	(1.0, 19.041223355244956)	(2.0, 2.9750682085129387)	(3.0, 1.6415125138424331)	(4.0, 1.129127411644033)	(5.0, 0.8784524896995789)	(6.0, 0.7273359519031782)	(7.0, 0.632945544567649)	(8.0, 0.5889199108929081)	(9.0, 0.48906705011328777)	('>10', 8.538594501140933)	('>50', 4.232261886690449)	('>100', 11.009272321811334)	('>500', 4.767219145416908)	('>1k', 12.623156614984898)	('>5k', 4.0144325696969885)	('>10k+', 26.71141052383752)
ERR1755921_2	(1.0, 16.10395200144889)	(2.0, 2.4694996756725804)	(3.0, 1.3640311018836935)	(4.0, 0.9470128942046496)	(5.0, 0.7526897768128908)	(6.0, 0.6270223123452108)	(7.0, 0.578167380576692)	(8.0, 0.5193582749758934)	(9.0, 0.4417385992323365)	('>10', 7.308499313219816)	('>50', 3.458613407390231)	('>100', 8.760386348132222)	('>500', 3.9965483977196556)	('>1k', 12.1541429022146)	('>5k', 8.529853997875737)	('>10k+', 31.988483616294904)
ERR1755922_1	(1.0, 25.205545170734432)	(2.0, 3.8269370493601453)	(3.0, 2.044208390204493)	(4.0, 1.4623237378974554)	(5.0, 1.1933126933547005)	(6.0, 0.9085356408527274)	(7.0, 0.8064339038049768)	(8.0, 0.7960923134406426)	(9.0, 0.6114083866716268)	('>10', 10.163267435764629)	('>50', 5.189004941661673)	('>100', 12.075673951394691)	('>500', 4.870056153773586)	('>1k', 8.411475613442713)	('>5k', 8.432715841331309)	('>10k+', 14.003008776310194)
ERR1755922_2	(1.0, 23.897637077649943)	(2.0, 3.727817128995921)	(3.0, 1.9949294773717232)	(4.0, 1.4780379840921063)	(5.0, 1.1639700041605128)	(6.0, 0.8998020384023435)	(7.0, 0.7715652358211024)	(8.0, 0.6837324583185503)	(9.0, 0.6355940827795526)	('>10', 9.988271413100474)	('>50', 4.965287562188828)	('>100', 12.87976197420136)	('>500', 6.148313853395386)	('>1k', 14.667671961318685)	('>5k', 6.566544667013617)	('>10k+', 9.531063081189908)
