Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR562391_2 - illumina_universal_adapter	(1, 0.0001552665441354856)	(2, 0.00019408318016935698)	(3, 0.00019408318016935698)	(4, 0.00023289981620322838)	(5, 0.00023289981620322838)	(6, 0.0002717164522370998)	(7, 0.0002717164522370998)	(8, 0.0002717164522370998)	(9, 0.000582249540508071)	(12, 0.0008073860295045251)	(17, 0.0011489724266025934)	(22, 0.0018088552391784072)	(27, 0.007196604320679758)	(32, 0.010573651655626569)	(37, 0.011039451288033025)	(42, 0.011443144302785289)	(47, 0.011986577207259487)	(52, 0.012304873622737234)	(57, 0.012739619946316593)	(62, 0.013158839615482403)	(67, 0.013810959100851445)	(72, 0.014307812042084997)	(77, 0.014781375001698228)	(82, 0.01578284421137211)	(87, 0.017638279413791164)	(92, 0.018569878678604077)	(97, 0.019858590994928607)	(102, 0.021465599726730882)	(107, 0.02400420772334607)	(112, 0.02799455790762805)	(117, 0.05531370634826673)	(122, 0.1315418161915834)	(127, 0.1968857412910025)	(132, 1.3630694643110144)	(137, 1.9862783191620264)	(140, 2.1749737502498823)
ERR562404_1 - illumina_universal_adapter	(1, 7.257233738444216e-05)	(2, 7.257233738444216e-05)	(3, 7.257233738444216e-05)	(4, 7.257233738444216e-05)	(5, 7.257233738444216e-05)	(6, 7.257233738444216e-05)	(7, 7.257233738444216e-05)	(8, 7.257233738444216e-05)	(9, 0.00021771701215332647)	(12, 0.00021771701215332647)	(17, 0.00024674594710710334)	(22, 0.0003265755182299897)	(27, 0.0046518868263427425)	(32, 0.007409635646951544)	(37, 0.00750397968555132)	(42, 0.007670896061535537)	(47, 0.00772895393144309)	(52, 0.007772497333873756)	(57, 0.007808783502565976)	(62, 0.008055529449673079)	(67, 0.008389362201641515)	(72, 0.008636108148748618)	(77, 0.008897368563332609)	(82, 0.009652120872130807)	(87, 0.010573789556913222)	(92, 0.011219683359634757)	(97, 0.012017979070863622)	(102, 0.013454911351075577)	(107, 0.015269219785686631)	(112, 0.01855674666920186)	(117, 0.022003932694962862)	(122, 0.026365530171767838)	(127, 0.05300683522559655)	(132, 3.8970764596746363)	(137, 6.701990042349587)	(140, 6.8001368714283075)
ERR562404_2 - illumina_universal_adapter	(1, 3.628616869222108e-05)	(2, 3.628616869222108e-05)	(3, 3.628616869222108e-05)	(4, 3.628616869222108e-05)	(5, 3.628616869222108e-05)	(6, 3.628616869222108e-05)	(7, 3.628616869222108e-05)	(8, 3.628616869222108e-05)	(9, 0.00021771701215332647)	(12, 0.00022497424589177067)	(17, 0.00028303211579932435)	(22, 0.00034834721944532236)	(27, 0.004695430228773408)	(32, 0.007518494153028207)	(37, 0.00762735265910487)	(42, 0.00781604073630442)	(47, 0.007895870307427309)	(52, 0.007975699878550192)	(57, 0.008026500514719304)	(62, 0.008113587319580635)	(67, 0.00828050369556485)	(72, 0.008527249642671954)	(77, 0.008788510057255946)	(82, 0.00949971896362348)	(87, 0.010334300843544565)	(92, 0.010994709113742987)	(97, 0.011822033759925629)	(102, 0.013164622001537807)	(107, 0.014674126619134203)	(112, 0.01761330628320411)	(117, 0.02026219659773625)	(122, 0.02357149518246681)	(127, 0.041097714660809595)	(132, 1.9411793948265355)	(137, 3.322289033122378)	(140, 3.368481325867575)
ERR562426_1 - illumina_universal_adapter	(1, 4.3102147780023876e-05)	(2, 4.3102147780023876e-05)	(3, 4.3102147780023876e-05)	(4, 4.3102147780023876e-05)	(5, 4.3102147780023876e-05)	(6, 4.3102147780023876e-05)	(7, 4.3102147780023876e-05)	(8, 4.3102147780023876e-05)	(9, 4.3102147780023876e-05)	(12, 4.3102147780023876e-05)	(17, 9.482472511605253e-05)	(22, 0.00019826987978810982)	(27, 0.007965276909748412)	(32, 0.012887542186227141)	(37, 0.012982366911343194)	(42, 0.01306857120690324)	(47, 0.01314615507290728)	(52, 0.013172016361575297)	(57, 0.013206498079799317)	(62, 0.013525453973371493)	(67, 0.014103022753623814)	(72, 0.014206467908295873)	(77, 0.014335774351635943)	(82, 0.014706452822544147)	(87, 0.015292642032352472)	(92, 0.015577116207700631)	(97, 0.0160684806923929)	(102, 0.01694776450710539)	(107, 0.018801156861646413)	(112, 0.021852788924472108)	(117, 0.025180274733089952)	(122, 0.029895649700224562)	(127, 0.035843746093867854)	(132, 0.6757554728952143)	(137, 1.0918032645566729)	(140, 1.1112164719167956)
ERR562426_2 - illumina_universal_adapter	(1, 8.620429556004775e-05)	(2, 8.620429556004775e-05)	(3, 8.620429556004775e-05)	(4, 8.620429556004775e-05)	(5, 8.620429556004775e-05)	(6, 8.620429556004775e-05)	(7, 8.620429556004775e-05)	(8, 8.620429556004775e-05)	(9, 8.620429556004775e-05)	(12, 8.620429556004775e-05)	(17, 0.0001379268728960764)	(22, 0.00024137202756813374)	(27, 0.008887662872240923)	(32, 0.014396117358527975)	(37, 0.014559905520092065)	(42, 0.014663350674764125)	(47, 0.014740934540768167)	(52, 0.014784036688548191)	(57, 0.014861620554552233)	(62, 0.014990926997892303)	(67, 0.015120233441232377)	(72, 0.015197817307236423)	(77, 0.015301262461908476)	(82, 0.0158874516717168)	(87, 0.016585706465753188)	(92, 0.01687880107065735)	(97, 0.017430508562241653)	(102, 0.01831841280651015)	(107, 0.02024938902705522)	(112, 0.023361364096772943)	(117, 0.026869878926066886)	(122, 0.031464567879417434)	(127, 0.03679199334502838)	(132, 0.6200502571043115)	(137, 0.9992370919842936)	(140, 1.0167365639829833)
ERR562429_1 - illumina_universal_adapter	(1, 3.0282456585556116e-05)	(2, 3.0282456585556116e-05)	(3, 6.056491317111223e-05)	(4, 6.056491317111223e-05)	(5, 6.056491317111223e-05)	(6, 6.056491317111223e-05)	(7, 6.056491317111223e-05)	(8, 6.056491317111223e-05)	(9, 0.00021197719609889281)	(12, 0.0002362031613673377)	(17, 0.00037550246166089587)	(22, 0.0007086094841020132)	(27, 0.004572650944418973)	(32, 0.007146659754191242)	(37, 0.007298072037119024)	(42, 0.007394975898192803)	(47, 0.007546388181120585)	(52, 0.007709913446682587)	(57, 0.007837099764341923)	(62, 0.00821865871731993)	(67, 0.008733460479274384)	(72, 0.008836420831665272)	(77, 0.00915741487147217)	(82, 0.009532917333133066)	(87, 0.00984785488162285)	(92, 0.010156735938795522)	(97, 0.010901684370800201)	(102, 0.01188889245548933)	(107, 0.013518088619792252)	(112, 0.01589223321609985)	(117, 0.02414117439000534)	(122, 0.03812561284121515)	(127, 0.055986205735376146)	(132, 1.8157239838873103)	(137, 2.866821995480646)	(140, 3.1601863218988795)
ERR562429_2 - illumina_universal_adapter	(1, 0.00021197719609889281)	(2, 0.00021197719609889281)	(3, 0.00024225965268444893)	(4, 0.00024225965268444893)	(5, 0.00024225965268444893)	(6, 0.00024225965268444893)	(7, 0.00024225965268444893)	(8, 0.00024225965268444893)	(9, 0.0003633894790266734)	(12, 0.000405784918246452)	(17, 0.0005874796577597887)	(22, 0.0008236828191271264)	(27, 0.00490575796686009)	(32, 0.00767357449877992)	(37, 0.007909777660147258)	(42, 0.008139924330197484)	(47, 0.00826711064785682)	(52, 0.008430635913418822)	(57, 0.008588104687663715)	(62, 0.008691065040054607)	(67, 0.008824307849031052)	(72, 0.008933324692739057)	(77, 0.00920586680200906)	(82, 0.009526860841815954)	(87, 0.00990841979479396)	(92, 0.010229413834600857)	(97, 0.01095013630133709)	(102, 0.011846497016269553)	(107, 0.013233433527888023)	(112, 0.015183623731997836)	(117, 0.022112249798773076)	(122, 0.034146498045873074)	(127, 0.04632610208458375)	(132, 1.0450960286980784)	(137, 1.627064279359296)	(140, 1.7523246327797901)
ERR562434_1 - illumina_universal_adapter	(1, 0.00013485776551471162)	(2, 0.00013485776551471162)	(3, 0.00013485776551471162)	(4, 0.00013485776551471162)	(5, 0.00017981035401961552)	(6, 0.00017981035401961552)	(7, 0.00017981035401961552)	(8, 0.00022476294252451938)	(9, 0.00044952588504903877)	(12, 0.0005034689912549234)	(17, 0.0007372224514804236)	(22, 0.0011328052303235777)	(27, 0.006320333943789486)	(32, 0.00981764532947101)	(37, 0.010042408271995526)	(42, 0.010303133285323968)	(47, 0.010473953121642603)	(52, 0.010572848816353392)	(57, 0.010635782440260259)	(62, 0.01134603333863774)	(67, 0.012406914427353472)	(72, 0.012784516170794662)	(77, 0.013404861892162338)	(82, 0.013728520529397645)	(87, 0.014573629193289837)	(92, 0.015346813715574184)	(97, 0.017315737092088973)	(102, 0.01888907768976061)	(107, 0.02133449850442738)	(112, 0.02444521762896673)	(117, 0.029605774789329697)	(122, 0.03871316922042322)	(127, 0.055912029582399436)	(132, 0.8742649127964736)	(137, 1.296900159401879)	(140, 1.6716069561433555)
ERR562434_2 - illumina_universal_adapter	(1, 0.00017981035401961552)	(2, 0.00017981035401961552)	(3, 0.00017981035401961552)	(4, 0.00017981035401961552)	(5, 0.00017981035401961552)	(6, 0.00017981035401961552)	(7, 0.00017981035401961552)	(8, 0.00022476294252451938)	(9, 0.00040457329654413493)	(12, 0.0004225543319460965)	(17, 0.0006473172744706158)	(22, 0.0010608810887157317)	(27, 0.006626011545622831)	(32, 0.010455972086240642)	(37, 0.01077064020577497)	(42, 0.011040355736804393)	(47, 0.011480891104152449)	(52, 0.011651710940471082)	(57, 0.011831521294490702)	(62, 0.011966379060005413)	(67, 0.012110227343221104)	(72, 0.012532781675167201)	(77, 0.013350918785956453)	(82, 0.013647605870088819)	(87, 0.014456752463177088)	(92, 0.015167003361554568)	(97, 0.01717188880887328)	(102, 0.018394599216206668)	(107, 0.0203904941458244)	(112, 0.02287187703129509)	(117, 0.026809723784324675)	(122, 0.034514597454065196)	(127, 0.047784601580712814)	(132, 0.5659530892767398)	(137, 0.8267859888175941)	(140, 1.012422198307445)
ERR562437_1 - illumina_universal_adapter	(1, 4.3875178626820986e-05)	(2, 4.3875178626820986e-05)	(3, 4.3875178626820986e-05)	(4, 4.3875178626820986e-05)	(5, 8.775035725364197e-05)	(6, 8.775035725364197e-05)	(7, 8.775035725364197e-05)	(8, 0.00013162553588046296)	(9, 0.0005265021435218518)	(12, 0.0005528272506979444)	(17, 0.0007020028580291358)	(22, 0.0008599535010856913)	(27, 0.008248533581842344)	(32, 0.012794002087581)	(37, 0.013022153016440469)	(42, 0.013267854016750666)	(47, 0.013373154445455037)	(52, 0.01354865515996232)	(57, 0.013645180552941328)	(62, 0.013952306803329073)	(67, 0.014540234196928476)	(72, 0.014935110804569862)	(77, 0.015321212376485888)	(82, 0.015584463448246816)	(87, 0.01592668984153602)	(92, 0.016523392270860783)	(97, 0.017848422665390776)	(102, 0.01896285220251203)	(107, 0.020858259919190696)	(112, 0.024534999888118296)	(117, 0.03230090650506561)	(122, 0.04511245866409734)	(127, 0.07417537698650356)	(132, 0.6840930101136674)	(137, 1.1127973804763354)	(140, 1.3334544288263435)
