;Unique;Shared;Others;Total
Chanaral;4278;185946;50695;240919
Flamenco;1351;185780;30272;217403
Huasco;5254;450096;31582;486932
Pta_Choros;5481;151686;10164;167331
Quintero;8532;92136;49645;150313
Las_Cruces;12569;268679;54729;335977
