"";"Ostreococcus";"Pseudozyma";"Dino-Group-I-Clade-1_X";"Paracalanus";"Bathycoccus";"Gyrodinium";"Guinardia";"Micromonas";"Meira";"Picochlorum";"Plagioselmis";"Rhizosolenia";"Tetraselmis";"Unassigned";"Phragmatopoma";"Chloroparvula";"Phaeocystis";"Pelagomonas";"Pelagostrobilidium";"Saccharina";"Teleaulax";"Oligotrichida_XX";"Thalassiosira";"Strombidiidae_X";"Picozoa_XXXXX";"Dino-Group-III_XX";"Pycnococcaceae_X";"Chaetoceros";"Minutocellus";"Pelagomonadales_clade_B1";"MAST-7B";"Dino-Group-II-Clade-10-and-11_X";"Obelia";"Heterocapsa";"Dino-Group-II-Clade-6_X";"Laboea";"Askenasia";"Detonula";"Dinophyceae_XXX";"Gymnodinium";"Dino-Group-I-Clade-5_X";"MAST-4A";"Aureococcus";"MAST-7A";"Dino-Group-II-Clade-7_X";"MAST-4E";"Kathablepharidida_XX";"Dino-Group-II-Clade-23_X";"Rhodotorula";"Dino-Group-II-Clade-44_X";"Ephelota";"MAST-4B";"MAST-12A";"Thraustochytriaceae_LAB17";"MAST-3E";"Chloropicon";"Crustomastigaceae_X";"Aplanochytrium";"Prasinoderma";"Oithona";"MAST-12_X";"Strombidium";"Prorocentrum";"Dino-Group-II-Clade-13_X";"Pleurobrachia";"Chlorodendrales_XX";"Dino-Group-II-Clade-22_X";"MAST-7C";"Choreotrichida_XX";"Dino-Group-II-Clade-1_X";"Rhodomonas:nucl";"MAST-2B";"Cylindrotheca";"Amphimedon";"Chrysophyceae_Clade-EC2H_XX";"Luciella";"Apicomplexa_XXXX";"Calanus";"Paraphysomonas";"Chrysochromulina";"Telonemia-Group-2_X";"Dino-Group-II-Clade-52_XX";"Pyramimonas";"Pedinellales_X";"Parmales_env_3B";"Haptolina";"Rhinomonas:nucl";"Dino-Group-II-Clade-16_X";"MAST-1B";"Parmales_env_3A";"Plagioselmis:nucl";"Biecheleria";"Rhodomonas";"Dictyocha";"Dino-Group-II-Clade-17_X";"Caecitellus";"Pelagomonadaceae_clade_C";"Florenciella";"Clytia";"Oikopleura";"MAST-4C";"Cryothecomonas";"Dino-Group-II-Clade-3_X";"MAST-2D";"Parmales_env_3_X";"Tintinnidae_X";"Triparma";"Pelagodinium";"MAST-8A";"Dino-Group-II-Clade-32_X";"MAST-11_X";"Helicostomella";"Dino-Group-II-Clade-5_X";"Minorisa";"Florenciellales_X";"Stephanoecidae_Group_H_X";"Dino-Group-II-Clade-12_X";"Islandinium";"Stephanoecidae_Group_D_X";"MAST-12B";"Haptophyta_Clade_HAP3_XXX";"MAST-10_X";"Paraphysomonadales_Clade-EC1Ga_X";"Dino-Group-II-Clade-39_X";"Brockmanniella";"Prymnesiaceae_X";"Bicoecaceae_X";"Urotricha";"Syndinium";"Pleurostomatida_X";"NASSO_1";"MAST-9D";"Karlodinium";"MAST-4D";"Pseudotontonia"
"S28_H2A17";22993;3451;1253;25;713;38;0;1513;846;91;255;0;0;683;33;27;1628;160;18;0;282;355;31;74;819;324;40;0;0;24;686;159;0;184;12;0;20;33;150;181;30;153;14;0;12;157;7;8;7;18;13;12;358;40;49;10;0;9;12;31;119;33;2;22;0;0;259;48;23;0;0;61;0;0;61;0;0;0;53;148;61;0;116;0;74;38;0;7;49;42;10;0;0;30;0;0;8;18;0;0;0;50;14;0;68;19;21;0;15;0;0;0;0;14;11;0;0;0;0;0;4;7;0;0;0;21;0;0;0;0;0;0;0;12;0
"S29_H2F18";29128;1244;1303;23;1714;2277;16;3889;0;162;907;0;353;1913;122;315;55;143;627;27;595;254;0;1251;225;794;199;11;122;17;1114;342;9;279;564;28;206;0;1558;571;316;91;32;236;939;151;228;73;3;114;0;29;67;18;12;8;266;11;0;0;0;75;158;166;0;0;0;132;66;202;106;35;104;69;199;35;0;11;0;193;92;70;17;160;33;49;62;38;22;0;37;69;27;11;77;12;0;73;0;0;28;14;0;0;0;11;46;70;59;55;55;51;106;85;37;8;0;18;0;32;0;21;15;75;0;34;0;16;0;0;11;0;1;3;0
"S30_H2A18";25169;201;2582;2108;2325;222;0;1491;0;93;732;0;0;2713;613;516;160;867;193;213;928;407;142;69;282;608;35;0;0;689;226;1111;18;550;166;121;22;0;823;655;1162;485;407;202;75;287;28;22;0;39;27;0;69;8;20;39;173;15;64;49;89;38;223;0;0;0;84;29;34;65;0;30;0;0;129;30;0;0;29;61;27;0;0;43;51;0;0;83;49;40;67;0;0;15;0;0;18;30;0;87;5;27;140;14;13;7;0;0;25;0;8;0;11;13;52;12;25;17;34;0;11;27;15;0;0;0;0;8;20;0;8;2;1;18;0
"S31_H3A17";21918;14014;1685;9;687;20;0;1635;1905;129;743;0;12;874;1174;48;502;368;0;6;864;119;0;44;722;355;126;0;13;45;622;271;0;311;15;0;0;33;178;86;364;213;22;71;30;243;0;22;41;23;0;18;92;44;218;28;0;0;25;0;73;119;43;0;0;16;432;63;0;0;0;28;0;0;70;0;0;0;68;189;74;0;17;0;42;37;0;54;206;13;30;0;0;12;0;0;22;26;5;17;0;0;20;0;0;0;0;0;22;0;0;0;0;22;37;0;0;0;6;0;0;9;0;0;12;0;0;0;0;0;6;0;0;13;0
"S32_H3F18";40815;2418;1354;38;2770;2439;26;7082;0;241;746;0;0;1547;24;328;39;134;145;0;840;124;0;1610;237;441;305;13;716;26;1351;303;0;99;524;10;152;0;979;366;134;66;62;201;352;154;203;58;6;64;0;70;41;9;16;15;253;0;0;21;4;15;37;68;0;0;5;95;0;103;73;24;48;0;229;33;0;32;0;300;114;39;27;128;12;112;17;18;25;11;18;42;22;8;58;54;0;57;0;0;67;20;0;0;0;0;152;0;28;47;58;53;67;76;44;5;0;33;0;0;0;20;0;16;19;19;8;0;0;0;0;0;18;20;0
"S33_H3A18";23818;986;4234;5117;1824;147;4;1255;135;108;995;18;0;1412;129;763;123;636;661;128;682;932;102;68;242;459;59;0;0;397;171;751;80;316;111;54;8;0;587;449;750;420;223;128;41;295;45;35;0;32;30;0;68;0;21;36;140;20;81;116;53;68;114;0;119;0;52;0;27;27;0;26;0;0;107;0;27;75;25;57;10;0;0;26;19;0;0;63;42;16;21;0;0;14;0;0;12;18;0;54;0;0;64;0;0;9;7;13;29;0;0;0;7;5;38;0;19;11;25;0;10;18;0;12;0;0;0;0;31;0;9;0;0;10;9
"S34_H4A17";19400;5773;1421;5;498;15;0;1957;140;124;713;0;0;808;162;67;574;702;0;30;960;97;0;24;749;401;177;0;0;94;504;235;0;453;11;0;0;18;203;75;259;128;40;0;36;147;8;6;22;8;0;9;29;25;108;30;24;0;33;23;26;55;0;16;0;0;184;76;0;15;0;18;0;0;40;0;0;0;23;172;76;0;13;0;58;24;0;44;125;13;30;0;0;11;0;0;13;34;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;15;45;11;0;0;0;8;6;0;0;12;0;6;0;0;0;0;0;0;11;5;0
"S35_H4F18";35680;1864;1191;20;2133;2314;7;6128;0;212;494;4;17;980;38;318;41;117;330;12;551;370;25;1393;190;330;261;33;546;35;1519;278;0;147;565;23;74;0;1127;344;96;76;85;280;614;161;88;84;7;68;0;19;21;9;10;0;277;0;0;6;5;0;105;114;0;0;8;157;0;83;62;24;67;26;239;27;0;21;0;225;117;18;10;164;32;48;31;0;0;0;12;39;24;8;95;24;0;46;0;0;55;0;0;0;0;0;99;0;35;82;31;11;26;30;24;0;0;12;5;10;0;20;0;25;18;8;0;0;0;0;0;5;25;0;5
"S36_H4A18";23548;269;3512;443;3999;108;0;2121;0;425;1012;0;0;1488;30;3960;437;1541;108;36;1346;2303;27;291;186;816;59;0;43;1371;298;1430;0;145;163;258;39;0;128;313;389;529;999;106;227;478;14;42;0;127;53;21;118;35;23;57;291;6;121;41;24;0;1;0;0;0;10;51;37;23;0;16;0;0;167;50;0;0;29;155;56;14;13;71;55;0;0;142;46;23;73;0;0;44;0;5;18;33;0;17;9;21;55;11;31;8;17;0;51;0;8;0;6;12;35;30;14;0;35;36;22;18;16;0;8;0;0;0;0;0;0;7;12;9;0
"S39_P1F18";15989;6630;2527;14;2987;147;21;3427;0;2330;490;7;0;5134;156;2178;71;1037;505;238;671;379;13;1047;69;741;107;30;1865;162;45;137;0;55;657;0;1506;0;159;120;275;89;157;0;235;55;199;239;26;352;0;11;0;32;0;12;123;0;0;0;0;238;0;91;0;0;0;0;744;111;40;15;48;24;30;31;0;0;0;58;31;13;0;25;0;0;26;10;0;0;25;0;0;0;8;0;32;12;0;0;70;0;0;0;0;0;13;0;13;0;28;0;0;0;26;0;7;0;9;12;0;10;5;15;13;0;0;0;0;0;0;4;0;0;0
"S40_P1A18";1470;9417;896;1247;173;2080;975;196;223;1387;210;7;0;3225;1196;344;206;41;19;115;263;251;3891;113;279;271;416;9;87;53;494;299;85;238;24;25;37;6549;619;127;182;48;27;85;32;78;25;29;0;35;399;12;576;94;73;50;23;128;311;14;497;31;151;0;8;144;154;0;182;56;0;11;0;52;450;68;6;30;59;69;21;62;31;15;39;0;0;29;8;170;41;18;0;7;0;177;0;0;188;13;0;39;0;28;25;68;0;0;14;0;0;10;7;10;15;0;22;10;9;0;3;0;0;0;9;0;10;0;0;20;10;8;10;0;6
