;Unique;Shared;Others;Total
Chanaral;16792;546251;140654;703697
Flamenco;6484;589589;112833;708906
Huasco;13772;651044;121613;786429
Pta_Choros;8224;264177;36544;308945
Quintero;26986;460661;137721;625368
Las_Cruces;39794;550308;168521;758623
