;Unique;Shared;Others;Total
Chanaral;4222;154733;76802;235757
Flamenco;1414;167365;48999;217778
Huasco;4158;428278;48309;480745
Pta_Choros;952;119691;39293;159936
Quintero;3746;78175;41733;123654
Las_Cruces;7863;228048;72997;308908
