Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
ERR4223605_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.001663240564358314)	(32, 0.0022869557759926814)	(37, 0.002338932043628879)	(42, 0.002338932043628879)	(47, 0.002338932043628879)	(52, 0.004314030213804376)	(57, 0.005197626763619731)	(62, 0.006081223313435085)	(67, 0.00717272493379523)	(72, 0.007276677469067625)	(77, 0.0076405113425210055)	(82, 0.008108297751246782)	(87, 0.008576084159972557)	(92, 0.009095846836334529)	(97, 0.009719562047968897)	(102, 0.010966992471237632)	(107, 0.012474304232687356)	(112, 0.014657307473407644)	(117, 0.017464025925762298)	(122, 0.018659480081394834)	(127, 0.020998412125023715)	(132, 0.022505723886473435)	(137, 0.026975682903186405)	(142, 0.030302164031903035)	(147, 0.03201738086389754)	(152, 0.032952953681349095)	(157, 0.03539583826025037)	(162, 0.039086153262420376)	(167, 0.0424646106587732)	(172, 0.046206901928579416)	(177, 0.050676860945292376)	(182, 0.05493891489146056)	(187, 0.05894108749944775)	(192, 0.06159187714889382)	(197, 0.06595788363033439)	(202, 0.07058377144995595)	(207, 0.07391025257867258)	(212, 0.07640511342521004)	(217, 0.08035530976556104)	(222, 0.08466933997936542)	(227, 0.08758001096699249)	(232, 0.09225787505425023)	(237, 0.09906676611459209)	(240, 0.10265312858148969)
ERR4223605_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0002598813381809866)	(22, 0.0002598813381809866)	(27, 0.0019231219025393005)	(32, 0.002546837114173668)	(37, 0.0025988133818098656)	(42, 0.0025988133818098656)	(47, 0.0025988133818098656)	(52, 0.005197626763619731)	(57, 0.006237152116343678)	(62, 0.007120748666159032)	(67, 0.008056321483610584)	(72, 0.008056321483610584)	(77, 0.008160274018882979)	(82, 0.00904387056869833)	(87, 0.009615609512696502)	(92, 0.009927467118513686)	(97, 0.010343277259603264)	(102, 0.011226873809418619)	(107, 0.012786161838504539)	(112, 0.014969165079224828)	(117, 0.01772390726394328)	(122, 0.018555527546122438)	(127, 0.020530625716297938)	(132, 0.02183003240720287)	(137, 0.02624801515627965)	(142, 0.029730425087904865)	(147, 0.03149761818753557)	(152, 0.033004929948985295)	(157, 0.035603743330795155)	(162, 0.03877429565660319)	(167, 0.042204729320592216)	(172, 0.046102949393307016)	(177, 0.050624884677656176)	(182, 0.05540670130018634)	(187, 0.05972073151399071)	(192, 0.06263140250161776)	(197, 0.06684148018014975)	(202, 0.0714673679997713)	(207, 0.07474187286085174)	(212, 0.07775649638375118)	(217, 0.08144681138592118)	(222, 0.08544898399390838)	(227, 0.08809977364335445)	(232, 0.09220589878661403)	(237, 0.09833909836768531)	(240, 0.10135372189058475)
ERR4223606_2 - illumina_universal_adapter	(1, 0.006567665195023169)	(2, 0.006567665195023169)	(3, 0.006567665195023169)	(4, 0.006567665195023169)	(5, 0.006567665195023169)	(6, 0.006567665195023169)	(7, 0.006567665195023169)	(8, 0.006567665195023169)	(9, 0.006567665195023169)	(12, 0.006567665195023169)	(17, 0.006567665195023169)	(22, 0.006567665195023169)	(27, 0.0068109120540981016)	(32, 0.008270393208547694)	(37, 0.00831904258036268)	(42, 0.008513640067622627)	(47, 0.008513640067622627)	(52, 0.009486627503922356)	(57, 0.010216368081147151)	(62, 0.010313666824777124)	(67, 0.010605563055667044)	(72, 0.010702861799297017)	(77, 0.011092056773816908)	(82, 0.011675849235596746)	(87, 0.012648836671896474)	(92, 0.013475875992751246)	(97, 0.013767772223641162)	(102, 0.014448863429050973)	(107, 0.01556779898079566)	(112, 0.01717322825069021)	(117, 0.019119203123289668)	(122, 0.02145437297040902)	(127, 0.02393549093297333)	(132, 0.025540920202867877)	(137, 0.02831393439632211)	(142, 0.030503156127996495)	(147, 0.03089235110251639)	(152, 0.03181668916700113)	(157, 0.035903236399459984)	(162, 0.04193575850451831)	(167, 0.04397903212074774)	(172, 0.04636285133968208)	(177, 0.049038566789506334)	(182, 0.053514308996485085)	(187, 0.05837924617798372)	(192, 0.06129820848688292)	(197, 0.06441176828304204)	(202, 0.06971454981087558)	(207, 0.07530922756959901)	(212, 0.08158499653373227)	(217, 0.08489315381715135)	(222, 0.08805536298512547)	(227, 0.09150946838398949)	(232, 0.09452572943651864)	(237, 0.09832038043808759)	(240, 0.10070419965702193)
ERR4223608_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0005983682146804361)	(27, 0.0038717943302851747)	(32, 0.00457575693579157)	(37, 0.00468135132661753)	(42, 0.004857341977994129)	(47, 0.004927738238544768)	(52, 0.0076731924000197115)	(57, 0.009644287695437619)	(62, 0.01119300542755169)	(67, 0.013023308201868316)	(72, 0.02023892490830887)	(77, 0.020450113689960792)	(82, 0.024673889322999163)	(87, 0.0275953341358507)	(92, 0.029320042519341373)	(97, 0.030411184557876288)	(102, 0.03276945928632271)	(107, 0.035233328405595093)	(112, 0.03759160313404152)	(117, 0.03998507599276327)	(122, 0.0425193413725863)	(127, 0.044631229189105476)	(132, 0.04561677683681443)	(137, 0.04906619360379577)	(142, 0.05181164776527071)	(147, 0.054275516884543094)	(152, 0.05582423461665716)	(157, 0.06001281211942022)	(162, 0.06420138962218327)	(167, 0.06895313720935144)	(172, 0.07328250723321576)	(177, 0.07849183051396309)	(182, 0.08394754070663765)	(187, 0.08876968455435648)	(192, 0.09257108262409101)	(197, 0.09873075542227197)	(202, 0.10404567309384524)	(207, 0.11059252532505473)	(212, 0.11724497194709016)	(217, 0.1226654840094894)	(222, 0.12984590258565465)	(227, 0.13526641464805392)	(232, 0.14191886127008932)	(237, 0.14748016585358986)	(240, 0.15135196018387503)
ERR4223608_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0008447551266076745)	(27, 0.004646153196342211)	(32, 0.005596502713775845)	(37, 0.005631700844051164)	(42, 0.005737295234877124)	(47, 0.005807691495427763)	(52, 0.007778786790845671)	(57, 0.010137061519292095)	(62, 0.01224894933581128)	(67, 0.014607224064257707)	(72, 0.023230765981711053)	(77, 0.023441954763362968)	(82, 0.028017711699154547)	(87, 0.030939156512006082)	(92, 0.032663864895496754)	(97, 0.03375500693403167)	(102, 0.036042885401927446)	(107, 0.03861234891202579)	(112, 0.040724236728544985)	(117, 0.04287132267533948)	(122, 0.04575756935791571)	(127, 0.04815104221663745)	(132, 0.049030995473520446)	(137, 0.05265640289187838)	(142, 0.055648243965280564)	(147, 0.058112113084552955)	(152, 0.060153604640521496)	(157, 0.06465896531576243)	(162, 0.06905873160017739)	(167, 0.0738808754478962)	(172, 0.07828064173231118)	(177, 0.08356036127360915)	(182, 0.0895440434204135)	(187, 0.09436618726813233)	(192, 0.097745207774563)	(197, 0.10327131422778821)	(202, 0.10883261881128874)	(207, 0.11485149908836842)	(212, 0.12072958684434683)	(217, 0.1257981176039929)	(222, 0.13322492309208536)	(227, 0.13857503889393397)	(232, 0.14445312664991233)	(237, 0.14969764806093502)	(240, 0.15223191344075804)
ERR4223609_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0001079606591358109)	(17, 0.0002159213182716218)	(22, 0.000683750841193469)	(27, 0.004462373910946851)	(32, 0.005218098524897527)	(37, 0.005290072297654735)	(42, 0.005577967388683563)	(47, 0.005685928047819375)	(52, 0.008276983867078837)	(57, 0.010112315072387622)	(62, 0.010904026572716902)	(67, 0.012163567595968029)	(72, 0.01705778414345812)	(77, 0.017345679234486953)	(82, 0.01961285307633898)	(87, 0.021376210508890558)	(92, 0.0227437121912775)	(97, 0.023895292555392817)	(102, 0.02565864998794439)	(107, 0.02792582382979642)	(112, 0.031344578035763765)	(117, 0.033539778104858586)	(122, 0.035878925719467825)	(127, 0.03811011267494126)	(132, 0.040737155380579315)	(137, 0.04501959485963315)	(142, 0.04804249331543586)	(147, 0.05038164093004509)	(152, 0.051965063930703645)	(157, 0.05430421154531288)	(162, 0.05732711000111559)	(167, 0.06265316918514893)	(172, 0.06607192339111627)	(177, 0.06988653334724826)	(182, 0.0751406187585244)	(187, 0.07985490087412148)	(192, 0.08417332723955391)	(197, 0.08946339953720864)	(202, 0.09450156363021316)	(207, 0.10180690156506969)	(212, 0.1098319772274983)	(217, 0.11587777413910372)	(222, 0.12275126943741702)	(227, 0.1276814728712857)	(232, 0.13171200414568932)	(237, 0.13858549944400259)	(240, 0.14322780778684246)
ERR4223609_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0001079606591358109)	(17, 0.0002159213182716218)	(22, 0.0007917115003292799)	(27, 0.004822242774732887)	(32, 0.005577967388683563)	(37, 0.005613954275062167)	(42, 0.005757901820576582)	(47, 0.0058658624797123925)	(52, 0.008240996980700233)	(57, 0.009896393754116)	(62, 0.01058014459530947)	(67, 0.012199554482346633)	(72, 0.017417653007244162)	(77, 0.017705548098272995)	(82, 0.019864761280989206)	(87, 0.02155614494078358)	(92, 0.022995620395927723)	(97, 0.024075226987285835)	(102, 0.025946545078973222)	(107, 0.02817773203444665)	(112, 0.03202832887695724)	(117, 0.03443945026432368)	(122, 0.036598663447039895)	(127, 0.038649915970620306)	(132, 0.04077314226695792)	(137, 0.045127555518768965)	(142, 0.048078480201814454)	(147, 0.05009374583901627)	(152, 0.051893090157946443)	(157, 0.05437618531807009)	(162, 0.057507044433008615)	(167, 0.06268915607152754)	(172, 0.06564008075457303)	(177, 0.06945469071070502)	(182, 0.07492469744025279)	(187, 0.0800708221923931)	(192, 0.08453319610333995)	(197, 0.08975129462823747)	(202, 0.09442958985745595)	(207, 0.10187887533782689)	(212, 0.11022783297766296)	(217, 0.11605770857099673)	(222, 0.12300317764206722)	(227, 0.1276094990985285)	(232, 0.1315680566001749)	(237, 0.13685812889782964)	(240, 0.14088866017223323)
ERR4223610_2 - illumina_universal_adapter	(1, 0.0002293525377858306)	(2, 0.0002293525377858306)	(3, 0.0002293525377858306)	(4, 0.0002293525377858306)	(5, 0.0002293525377858306)	(6, 0.0002293525377858306)	(7, 0.0002293525377858306)	(8, 0.0002293525377858306)	(9, 0.0002293525377858306)	(12, 0.00022935253778583062)	(17, 0.0005504460906859934)	(22, 0.0006880576133574918)	(27, 0.0010550216738148207)	(32, 0.0013761152267149836)	(37, 0.001559597256943648)	(42, 0.001834820302286645)	(47, 0.001880690809843811)	(52, 0.002293525377858306)	(57, 0.002843971468544299)	(62, 0.0030733240063301305)	(67, 0.0033485470516731266)	(72, 0.003807252127244788)	(77, 0.004220086695259283)	(82, 0.004357698217930781)	(87, 0.004632921263273778)	(92, 0.005229237861516937)	(97, 0.005963165982431596)	(102, 0.007201669686475081)	(107, 0.007935597807389737)	(112, 0.009495195064333387)	(117, 0.011605238411963028)	(122, 0.013623540744478338)	(127, 0.015412490539207818)	(132, 0.016834476273479965)	(137, 0.021192174491410747)	(142, 0.023944404944840715)	(147, 0.02444898052796954)	(152, 0.026192059815141853)	(157, 0.02958647737437215)	(162, 0.03247631935047361)	(167, 0.03522854980390358)	(172, 0.03830187381023371)	(177, 0.041650420861906845)	(182, 0.045090708928694295)	(187, 0.048209903442581595)	(192, 0.05096213389601156)	(197, 0.055228091098828015)	(202, 0.0590353432260728)	(207, 0.06577830783697622)	(212, 0.07206256737230798)	(217, 0.0782550858925254)	(222, 0.08476869796564299)	(227, 0.08926400770624528)	(232, 0.09408041099974772)	(237, 0.09990596545950782)	(240, 0.10183252677690878)
ERR4223612_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.00021908804600848965)	(22, 0.0003834040805148569)	(27, 0.0030124606326167335)	(32, 0.004326988908667671)	(37, 0.004381760920169793)	(42, 0.0047103929891825266)	(47, 0.004929481035191017)	(52, 0.006682185403258933)	(57, 0.008215801725318363)	(62, 0.008708749828837464)	(67, 0.0090373818978502)	(72, 0.009311241955360811)	(77, 0.009420785978365057)	(82, 0.01117349034643297)	(87, 0.012323702587977542)	(92, 0.012871422702998767)	(97, 0.01314528276050938)	(102, 0.014350267013556073)	(107, 0.015555251266602765)	(112, 0.015938655347117626)	(117, 0.01818430781870464)	(122, 0.021415856497329865)	(127, 0.023551964945912638)	(132, 0.025523757359989047)	(137, 0.028152813912090922)	(142, 0.02968643023415035)	(147, 0.031165274544707654)	(152, 0.03269889086676708)	(157, 0.03456113925783924)	(162, 0.039490620293030264)	(167, 0.04584417362727646)	(172, 0.05088319868547173)	(177, 0.055757907709160615)	(182, 0.06123510885937287)	(187, 0.06649322196357661)	(192, 0.07027249075722306)	(197, 0.07547583184992468)	(202, 0.07930987265507326)	(207, 0.08604683006983431)	(212, 0.09404354374914418)	(217, 0.0994659728878543)	(222, 0.10521703409557714)	(227, 0.10976311105025331)	(232, 0.11562371628098042)	(237, 0.12175818156921814)	(240, 0.12624948651239218)
ERR4223612_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.00021908804600848965)	(22, 0.0006024921265233465)	(27, 0.0032315486786252227)	(32, 0.004600848966178283)	(37, 0.0046556209776804055)	(42, 0.004984253046693141)	(47, 0.00520334109270163)	(52, 0.006736957414761056)	(57, 0.008489661782828974)	(62, 0.008763521840339586)	(67, 0.009311241955360811)	(72, 0.009585102012871423)	(77, 0.009585102012871423)	(82, 0.011009174311926606)	(87, 0.01204984253046693)	(92, 0.012707106668492401)	(97, 0.013528686841024238)	(102, 0.014897987128577298)	(107, 0.016102971381623993)	(112, 0.016760235519649457)	(117, 0.01867725592222374)	(122, 0.021251540462823494)	(127, 0.02316856086539778)	(132, 0.025085581267972067)	(137, 0.02793372586608243)	(142, 0.029741202245652472)	(147, 0.031165274544707654)	(152, 0.033137066958784066)	(157, 0.03521840339586472)	(162, 0.03992879638504724)	(167, 0.04650143776530193)	(172, 0.05143091880049294)	(177, 0.056415171847186085)	(182, 0.062221005066411074)	(187, 0.06736957414761058)	(192, 0.07213473914829521)	(197, 0.07788580035601808)	(202, 0.08254142133369846)	(207, 0.08856634259893195)	(212, 0.09678214432425031)	(217, 0.10236888949746678)	(222, 0.10757223059016843)	(227, 0.11195399151033822)	(232, 0.11721210461454197)	(237, 0.12214158564973299)	(240, 0.12515404628234972)
ERR4223613_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00027901396464893066)	(8, 0.00027901396464893066)	(9, 0.00027901396464893066)	(12, 0.00027901396464893066)	(17, 0.0005022251363680753)	(22, 0.0005580279292978613)	(27, 0.0017298865808233707)	(32, 0.0022321117171914453)	(37, 0.0022321117171914453)	(42, 0.0022321117171914453)	(47, 0.0022321117171914453)	(52, 0.004743237399031822)	(57, 0.006696335151574337)	(62, 0.007254363080872198)	(67, 0.00809140497481899)	(72, 0.00809140497481899)	(77, 0.008593630111187064)	(82, 0.008928446868765781)	(87, 0.009765488762712573)	(92, 0.01054672786372958)	(97, 0.011048953000097655)	(102, 0.012332417237482737)	(107, 0.013839092646586962)	(112, 0.014564528954674184)	(117, 0.01735466860116349)	(122, 0.019865794283003863)	(127, 0.021539878070897446)	(132, 0.024162609338597395)	(137, 0.027566579707314354)	(142, 0.02985449421743558)	(147, 0.03152857800532917)	(152, 0.033704886929590824)	(157, 0.03627181540436099)	(162, 0.03928516622256944)	(167, 0.044363220379179974)	(172, 0.05083634435903517)	(177, 0.05580279292978614)	(182, 0.06344777556116685)	(187, 0.0680236045814093)	(192, 0.0740503062178262)	(197, 0.0789051492027176)	(202, 0.08370418939467919)	(207, 0.09324646698567263)	(212, 0.101505280339281)	(217, 0.10881544621308296)	(222, 0.11567918974344667)	(227, 0.11986439921318062)	(232, 0.12538887571322946)	(237, 0.13057853545569956)	(240, 0.1336476890668378)
ERR4223613_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00027901396464893066)	(8, 0.00027901396464893066)	(9, 0.00027901396464893066)	(12, 0.00027901396464893066)	(17, 0.0005022251363680753)	(22, 0.0005580279292978613)	(27, 0.0017298865808233707)	(32, 0.0019530977525425148)	(37, 0.0019530977525425148)	(42, 0.0019530977525425148)	(47, 0.0019530977525425148)	(52, 0.0039619982980148155)	(57, 0.005859293257627544)	(62, 0.006752137944504123)	(67, 0.007812391010170059)	(72, 0.007812391010170059)	(77, 0.00809140497481899)	(82, 0.008593630111187064)	(87, 0.009319066419274286)	(92, 0.00998869993443172)	(97, 0.010267713899080648)	(102, 0.011495375343535945)	(107, 0.01300205075264017)	(112, 0.013727487060727388)	(117, 0.015959598777918835)	(122, 0.018749738424408142)	(127, 0.0205354277981613)	(132, 0.022488525550703815)	(137, 0.026059904298210125)	(142, 0.028292016015401572)	(147, 0.02991029701036537)	(152, 0.03203080314169724)	(157, 0.03476513999525676)	(162, 0.03833651874276307)	(167, 0.04335877010644383)	(172, 0.04977609129336923)	(177, 0.05446352589947127)	(182, 0.06143887501569454)	(187, 0.0651776621419902)	(192, 0.07114856098547732)	(197, 0.07639402352087722)	(202, 0.08147207767748776)	(207, 0.09157238319777904)	(212, 0.09955218258673845)	(217, 0.1054672786372958)	(222, 0.11160558585957228)	(227, 0.11590240091516579)	(232, 0.12092465227884656)	(237, 0.1259469036425273)	(240, 0.12862543770315704)
ERR4223615_1 - illumina_universal_adapter	(1, 0.00022015908695623458)	(2, 0.00022015908695623458)	(3, 0.00022015908695623458)	(4, 0.00022015908695623458)	(5, 0.00022015908695623458)	(6, 0.00022015908695623458)	(7, 0.00022015908695623458)	(8, 0.00022015908695623458)	(9, 0.00022015908695623458)	(12, 0.00022015908695623455)	(17, 0.00035225453912997534)	(22, 0.0004403181739124691)	(27, 0.001056763617389926)	(32, 0.0013209545217374075)	(37, 0.0013649863391286543)	(42, 0.0017172408782586295)	(47, 0.0017612726956498764)	(52, 0.012416972504331629)	(57, 0.013473736121721558)	(62, 0.013649863391286543)	(67, 0.013737927026069036)	(72, 0.013870022478242778)	(77, 0.014046149747807764)	(82, 0.015323072452153924)	(87, 0.01637983606954385)	(92, 0.016599995156500087)	(97, 0.017216440599977546)	(102, 0.017920949678237492)	(107, 0.019241904199974902)	(112, 0.021179304165189768)	(117, 0.023160735947795878)	(122, 0.026154899530400667)	(127, 0.029060999478222965)	(132, 0.030514049452134113)	(137, 0.0349172311912588)	(142, 0.039144285660818505)	(147, 0.04108168562603337)	(152, 0.043327308312986965)	(157, 0.04777452186950291)	(162, 0.0520896399738451)	(167, 0.054159135391233716)	(172, 0.05724136260862099)	(177, 0.0598832716520958)	(182, 0.06265727614774436)	(187, 0.06556337609556666)	(192, 0.06860157149556269)	(197, 0.07062703509556005)	(202, 0.07375329413033857)	(207, 0.07872888949554949)	(212, 0.08299997578250043)	(217, 0.08674268026075642)	(222, 0.09008909838249118)	(227, 0.0942280892172684)	(232, 0.09739838006943818)	(237, 0.10048060728682547)	(240, 0.10149333908682413)
ERR4223616_1 - illumina_universal_adapter	(1, 0.00021945080242185904)	(2, 0.00021945080242185904)	(3, 0.00021945080242185904)	(4, 0.00021945080242185904)	(5, 0.00021945080242185904)	(6, 0.00021945080242185904)	(7, 0.00021945080242185904)	(8, 0.00021945080242185904)	(9, 0.00021945080242185904)	(12, 0.00021945080242185901)	(17, 0.00021945080242185901)	(22, 0.00021945080242185901)	(27, 0.00039501144435934626)	(32, 0.00043890160484371803)	(37, 0.00043890160484371803)	(42, 0.00043890160484371803)	(47, 0.0005266819258124617)	(52, 0.002633409629062309)	(57, 0.0035112128387497442)	(62, 0.0036867734806872317)	(67, 0.003950114443593463)	(72, 0.004345125887952809)	(77, 0.005135148776671502)	(82, 0.005398489739577733)	(87, 0.005486270060546476)	(92, 0.0066274142331401425)	(97, 0.009260823862202453)	(102, 0.01066530899770235)	(107, 0.011806453170296018)	(112, 0.012508695738045967)	(117, 0.0144837529598427)	(122, 0.016414920021155056)	(127, 0.01966279189699857)	(132, 0.022427872007513998)	(137, 0.025061281636576303)	(142, 0.026904668376919922)	(147, 0.029845309129372832)	(152, 0.03182036635116957)	(157, 0.03449766614071624)	(162, 0.03884279202866906)	(167, 0.04450462273115302)	(172, 0.04849862733523085)	(177, 0.052843753223183666)	(182, 0.056925538148230245)	(187, 0.061753455801511134)	(192, 0.07316489752744781)	(197, 0.08137235753802534)	(202, 0.08756087016632176)	(207, 0.09216933701718079)	(212, 0.09603167113980553)	(217, 0.10028901670678958)	(222, 0.1050730441995861)	(227, 0.10990096185286702)	(232, 0.11371940581500736)	(237, 0.11867899394974138)	(240, 0.12135629373928805)
ERR4223616_2 - illumina_universal_adapter	(1, 0.0006583524072655771)	(2, 0.0006583524072655771)	(3, 0.0006583524072655771)	(4, 0.0006583524072655771)	(5, 0.0006583524072655771)	(6, 0.0006583524072655771)	(7, 0.0006583524072655771)	(8, 0.0006583524072655771)	(9, 0.0006583524072655771)	(12, 0.0006583524072655771)	(17, 0.0006583524072655771)	(22, 0.0006583524072655771)	(27, 0.0008339130492030644)	(32, 0.0008778032096874361)	(37, 0.0008778032096874361)	(42, 0.0010094736911405516)	(47, 0.0010972540121092953)	(52, 0.002808970270999796)	(57, 0.0035112128387497442)	(62, 0.0037745538016559755)	(67, 0.004169565246015322)	(72, 0.004564576690374669)	(77, 0.005266819258124617)	(82, 0.005486270060546476)	(87, 0.005486270060546476)	(92, 0.006407963430718285)	(97, 0.009041373059780594)	(102, 0.010577528676733606)	(107, 0.011982013812233506)	(112, 0.012991487503374055)	(117, 0.015493226650983249)	(122, 0.017380503551811238)	(127, 0.01988224269942043)	(132, 0.022164531044607767)	(137, 0.02449070955027947)	(142, 0.026246315969654342)	(147, 0.02931862720356037)	(152, 0.03151313522777896)	(157, 0.03419043501732564)	(162, 0.03840389042382534)	(167, 0.043934050644856185)	(172, 0.047313593002152814)	(177, 0.05157093856913688)	(182, 0.05595995461757406)	(187, 0.060787872270854956)	(192, 0.07219931399679162)	(197, 0.08102123625415036)	(202, 0.08690251775905619)	(207, 0.09151098460991522)	(212, 0.09581222033738367)	(217, 0.09958677413903963)	(222, 0.10388800986650808)	(227, 0.10775034398913279)	(232, 0.11069098474158572)	(237, 0.11433386806178858)	(240, 0.11608947448116344)
ERR4223617_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0007218001696230399)	(32, 0.0009022502120287998)	(37, 0.0009022502120287998)	(42, 0.0010827002544345598)	(47, 0.0013533753180431998)	(52, 0.003112763231499359)	(57, 0.005278163740368479)	(62, 0.005729288846382878)	(67, 0.005864626378187199)	(72, 0.005864626378187199)	(77, 0.006090188931194399)	(82, 0.0068119891008174395)	(87, 0.007082664164426078)	(92, 0.007398451738636158)	(97, 0.010962340076149919)	(102, 0.012857065521410398)	(107, 0.014029990797047837)	(112, 0.015157803562083839)	(117, 0.018090116751177436)	(122, 0.020706642366060953)	(127, 0.02354873053395168)	(132, 0.026526156233646715)	(137, 0.029593806954544638)	(142, 0.03189454499521807)	(147, 0.03374415792987712)	(152, 0.0354133208221304)	(157, 0.03771405886280384)	(162, 0.04037569698828879)	(167, 0.04421026038941119)	(172, 0.04804482379053358)	(177, 0.050390674341808474)	(182, 0.054811700380749596)	(187, 0.058871826334879196)	(192, 0.06730786581734848)	(197, 0.07393940487576015)	(202, 0.07732284317086814)	(207, 0.08160853167800494)	(212, 0.0867513578865691)	(217, 0.09049569626648862)	(222, 0.09482649728422686)	(227, 0.10014977353519679)	(232, 0.10619484995578973)	(237, 0.11138278867495535)	(240, 0.11413465182164317)
ERR4223617_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0005413501272172799)	(32, 0.0006766876590215999)	(37, 0.0006766876590215999)	(42, 0.0008571377014273598)	(47, 0.0011278127650359998)	(52, 0.0023458505512748795)	(57, 0.004375913528339679)	(62, 0.004827038634354079)	(67, 0.005052601187361279)	(72, 0.005187938719165599)	(77, 0.0054135012721727984)	(82, 0.005999963909991519)	(87, 0.006180413952397279)	(92, 0.006451089016005919)	(97, 0.009608964758106717)	(102, 0.011233015139758558)	(107, 0.012811953010808957)	(112, 0.014029990797047837)	(117, 0.017278091560351518)	(122, 0.019759279643430716)	(127, 0.022375805258314237)	(132, 0.025398343468610717)	(137, 0.028285544147102874)	(142, 0.030586282187776315)	(147, 0.03288702022844976)	(152, 0.03460129563130447)	(157, 0.03712759622498511)	(162, 0.039969684392875834)	(167, 0.04366891026219392)	(172, 0.04808993630113503)	(177, 0.050796686937221426)	(182, 0.05490192540195247)	(187, 0.05918761390908926)	(192, 0.06834545356118159)	(197, 0.07551834274681055)	(202, 0.07894689355251998)	(207, 0.08332280708085966)	(212, 0.08796939567280797)	(217, 0.09166862154212606)	(222, 0.09577386000685709)	(227, 0.10096179872602269)	(232, 0.10669108757240557)	(237, 0.11147301369615821)	(240, 0.11323240160961438)
