Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
ERR4223600_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 9.14310792524595e-05)	(17, 0.00022857769813114875)	(22, 0.000365724317009838)	(27, 0.002102914822806568)	(32, 0.002925794536078704)	(37, 0.003154372234209853)	(42, 0.0033829499323410005)	(47, 0.003428665471967231)	(52, 0.0057144424532787185)	(57, 0.007177339721318071)	(62, 0.00731448634019676)	(67, 0.007497348498701678)	(72, 0.007771641736459058)	(77, 0.008000219434590205)	(82, 0.008731668068609883)	(87, 0.009783125480013167)	(92, 0.01088029843104268)	(97, 0.012068902461324653)	(102, 0.012663204476465639)	(107, 0.014400394982262369)	(112, 0.015726145631423032)	(117, 0.017600482756098455)	(122, 0.02006912189591486)	(127, 0.02235489887722635)	(132, 0.025097831254800133)	(137, 0.028069341330505065)	(142, 0.031452291262846065)	(147, 0.03428665471967231)	(152, 0.035520974289580516)	(157, 0.03940679515781005)	(162, 0.04196686537687891)	(167, 0.04685842811688549)	(172, 0.0510185422228724)	(177, 0.05463006985334455)	(182, 0.0591559082763413)	(187, 0.06395603993709541)	(192, 0.0666989723146692)	(197, 0.07108766411878727)	(202, 0.07634495117580367)	(207, 0.08416230845188896)	(212, 0.09760267710200052)	(217, 0.10285996415901692)	(222, 0.10766009581977105)	(227, 0.1131002450352924)	(232, 0.1190889807263285)	(237, 0.12379768130783017)	(240, 0.1270892001609187)
ERR4223600_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 9.14310792524595e-05)	(17, 0.00022857769813114875)	(22, 0.000365724317009838)	(27, 0.0019200526643016497)	(32, 0.0026972168379475548)	(37, 0.002925794536078704)	(42, 0.003154372234209853)	(47, 0.003200087773836082)	(52, 0.0053030025966426505)	(57, 0.006720184325055773)	(62, 0.006948762023186922)	(67, 0.00726877080057053)	(72, 0.00731448634019676)	(77, 0.007543064038327908)	(82, 0.00868595252898365)	(87, 0.009508832242255788)	(92, 0.010423143034780383)	(97, 0.011657462604688586)	(102, 0.012434626778334491)	(107, 0.014583257140767289)	(112, 0.01581757671067549)	(117, 0.017691913835350914)	(122, 0.02025198405441978)	(127, 0.022857769813114874)	(132, 0.025829279888819806)	(137, 0.02866364334564605)	(142, 0.03186373111948214)	(147, 0.0347438101159346)	(152, 0.036389569542478885)	(157, 0.04036682148996086)	(162, 0.042652598471272354)	(167, 0.04726986797352156)	(172, 0.05156712869838716)	(177, 0.05540723402699046)	(182, 0.05988735691036097)	(187, 0.06491606626924624)	(192, 0.06752185202794134)	(197, 0.07159053505467579)	(202, 0.07671067549281352)	(207, 0.08347657535749553)	(212, 0.09623121091321363)	(217, 0.10144278243060381)	(222, 0.1075686647405186)	(227, 0.11296309841641372)	(232, 0.1184946787111875)	(237, 0.12279193943605311)	(240, 0.1252605785758695)
ERR4223601_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0002337453484675655)	(7, 0.0002337453484675655)	(8, 0.0002337453484675655)	(9, 0.0002337453484675655)	(12, 0.00023374534846756553)	(17, 0.00046749069693513106)	(22, 0.0006077379060156703)	(27, 0.002290704414982142)	(32, 0.0029919404603848385)	(37, 0.0030386895300783512)	(42, 0.0030386895300783512)	(47, 0.003272434878545917)	(52, 0.006124128129850216)	(57, 0.008414832544832359)	(62, 0.008742076032686948)	(67, 0.009022570450848028)	(72, 0.009116068590235055)	(77, 0.009677057426557212)	(82, 0.010986031377975578)	(87, 0.011734016493071786)	(92, 0.013603979280812311)	(97, 0.014819455092843653)	(102, 0.01566093834732689)	(107, 0.016689417880584177)	(112, 0.01869962787740524)	(117, 0.021457822989322514)	(122, 0.02384202554369168)	(127, 0.02692746414346354)	(132, 0.028470183443349478)	(137, 0.03408007180657105)	(142, 0.03833423714868074)	(147, 0.04048469435458235)	(152, 0.04333638760588664)	(157, 0.046562073414739044)	(162, 0.049554013875123884)	(167, 0.05469641154141033)	(172, 0.05909082409260056)	(177, 0.06217626269237242)	(182, 0.06708491501019129)	(187, 0.07161957477046207)	(192, 0.07620098360042635)	(197, 0.08274585335751819)	(202, 0.08812199637227218)	(207, 0.09499410961721862)	(212, 0.1113562840099482)	(217, 0.1170596705125568)	(222, 0.12528750677861508)	(227, 0.13262711072049665)	(232, 0.1369747742019934)	(237, 0.14141593582287712)	(240, 0.14398713465602034)
ERR4223601_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0002337453484675655)	(7, 0.0002337453484675655)	(8, 0.0002337453484675655)	(9, 0.0002337453484675655)	(12, 0.00023374534846756553)	(17, 0.00046749069693513106)	(22, 0.0006077379060156703)	(27, 0.0020569590665145765)	(32, 0.002758195111917273)	(37, 0.002804944181610786)	(42, 0.002804944181610786)	(47, 0.0030386895300783512)	(52, 0.005609888363221572)	(57, 0.007853843708510201)	(62, 0.008181087196364793)	(67, 0.008975821381154516)	(72, 0.00934981393870262)	(77, 0.009583559287170185)	(82, 0.010612038820427471)	(87, 0.011126278587056119)	(92, 0.012622248817248539)	(97, 0.013510481141425284)	(102, 0.014258466256521496)	(107, 0.01538044392916581)	(112, 0.01753090113506741)	(117, 0.020008601828823608)	(122, 0.022720047871047366)	(127, 0.02622622809806085)	(132, 0.027768947397946782)	(137, 0.03384632645810349)	(142, 0.03847448435776128)	(147, 0.04020419993642127)	(152, 0.043242889466499616)	(157, 0.04684256783290012)	(162, 0.050068253641752526)	(167, 0.05521065130803896)	(172, 0.05937131851076164)	(177, 0.06259700431961404)	(182, 0.06703816594049779)	(187, 0.07138582942199449)	(192, 0.07652822708828094)	(197, 0.08344708940292088)	(202, 0.08910372683583598)	(207, 0.09630308356863697)	(212, 0.11168352749780279)	(217, 0.11734016493071786)	(222, 0.12472651794229295)	(227, 0.1310376423509172)	(232, 0.1352450586233334)	(237, 0.13926547861697552)	(240, 0.1402472090805393)
ERR4223602_1 - illumina_universal_adapter	(1, 0.00021635187468899418)	(2, 0.00021635187468899418)	(3, 0.00021635187468899418)	(4, 0.00021635187468899418)	(5, 0.00021635187468899418)	(6, 0.00021635187468899418)	(7, 0.00021635187468899418)	(8, 0.00021635187468899418)	(9, 0.00021635187468899418)	(12, 0.0003461629995023907)	(17, 0.00043270374937798837)	(22, 0.00043270374937798837)	(27, 0.0012115704982583672)	(32, 0.0029856558707081196)	(37, 0.0032885484952727114)	(42, 0.0036779818697129014)	(47, 0.0037212522446506994)	(52, 0.005452067242162653)	(57, 0.005841500616602843)	(62, 0.006101122866229635)	(67, 0.006490556240669824)	(72, 0.006533826615607624)	(77, 0.006879989615110016)	(82, 0.008134830488306181)	(87, 0.009865645485818135)	(92, 0.01150991973345449)	(97, 0.012548408731961664)	(102, 0.013154193981090846)	(107, 0.014409034854287012)	(112, 0.016139849851798966)	(117, 0.018130287098937714)	(122, 0.01994764284632526)	(127, 0.021808268968650613)	(132, 0.023798706215789358)	(137, 0.02989982908201899)	(142, 0.03439994807555007)	(147, 0.0372557928214448)	(152, 0.03868371519439216)	(157, 0.041496289565349086)	(162, 0.04422232318643041)	(167, 0.0483330088055213)	(172, 0.05283312779905238)	(177, 0.05902079141515761)	(182, 0.06503537353151165)	(187, 0.07130957789749248)	(192, 0.07490101901732979)	(197, 0.07844918976222928)	(202, 0.08286276800588477)	(207, 0.09073797624456417)	(212, 0.0967092879859804)	(217, 0.10190173297851626)	(222, 0.10925769671794205)	(227, 0.11436360096060232)	(232, 0.11968585707795158)	(237, 0.1259600614439324)	(240, 0.12894571731464052)
ERR4223602_2 - illumina_universal_adapter	(1, 0.00021635187468899418)	(2, 0.00021635187468899418)	(3, 0.00021635187468899418)	(4, 0.00021635187468899418)	(5, 0.00021635187468899418)	(6, 0.00021635187468899418)	(7, 0.00021635187468899418)	(8, 0.00021635187468899418)	(9, 0.00021635187468899418)	(12, 0.00043270374937798837)	(17, 0.0006490556240669825)	(22, 0.0008654074987559767)	(27, 0.0014711927478851603)	(32, 0.003288548495272712)	(37, 0.003461629995023907)	(42, 0.0036779818697129014)	(47, 0.0036779818697129014)	(52, 0.004370307868717682)	(57, 0.004759741243157872)	(62, 0.005062633867722464)	(67, 0.005625148741913849)	(72, 0.005754959866727245)	(77, 0.006230933991043032)	(82, 0.007442504489301401)	(87, 0.009000237987062157)	(92, 0.010644512234698514)	(97, 0.01150991973345449)	(102, 0.012072434607645876)	(107, 0.013370545855779839)	(112, 0.015274442353042988)	(117, 0.017308149975119536)	(122, 0.019514939096947275)	(127, 0.021375565219272624)	(132, 0.02319292096666018)	(137, 0.029164232708076415)	(142, 0.033015296077540515)	(147, 0.03569805932368404)	(152, 0.0372990631963826)	(157, 0.040198178317215116)	(162, 0.04275113043854525)	(167, 0.04655892343307155)	(172, 0.05088596092685142)	(177, 0.056727461543454274)	(182, 0.06269877328487052)	(187, 0.06927587027541593)	(192, 0.07299712252006664)	(197, 0.07697799701434413)	(202, 0.08095887150862162)	(207, 0.0894398649964302)	(212, 0.09554098786265983)	(217, 0.1003439994807555)	(222, 0.1073538002206789)	(227, 0.112070271088899)	(232, 0.11648384933255447)	(237, 0.12258497219878409)	(240, 0.12505138357023862)
ERR4223603_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 8.879831460798873e-05)	(17, 0.00022199578651997185)	(22, 0.00022199578651997185)	(27, 0.0016871679775517859)	(32, 0.0031967393258875943)	(37, 0.0035519325843195496)	(42, 0.0035519325843195496)	(47, 0.0037295292135355275)	(52, 0.005727491292215273)	(57, 0.0064378778090791846)	(62, 0.006526676123687172)	(67, 0.0068818693821191285)	(72, 0.0068818693821191285)	(77, 0.006926268539423122)	(82, 0.008791033146190886)	(87, 0.009812213764182755)	(92, 0.010345003651830689)	(97, 0.011543780899038535)	(102, 0.01238736488781443)	(107, 0.01363054129232627)	(112, 0.015051314326054093)	(117, 0.01682728061821387)	(122, 0.01847004943846166)	(127, 0.02246597359582115)	(132, 0.024641532303716872)	(137, 0.030546620225148126)	(142, 0.034586943539811614)	(147, 0.03720649382074728)	(152, 0.03884926264099507)	(157, 0.042356796068010634)	(162, 0.04586432949502618)	(167, 0.05034864438272961)	(172, 0.05416697191087313)	(177, 0.05727491292215273)	(182, 0.06473397134922379)	(187, 0.06961787865266317)	(192, 0.07436858848419056)	(197, 0.07854210927076603)	(202, 0.08387000814724536)	(207, 0.09190625561926834)	(212, 0.09772254522609161)	(217, 0.10269525084413897)	(222, 0.1079787505633143)	(227, 0.11441662837239348)	(232, 0.11805735927132104)	(237, 0.12196448511407254)	(240, 0.12476163202422418)
ERR4223603_2 - illumina_universal_adapter	(1, 0.00022199578651997185)	(2, 0.00022199578651997185)	(3, 0.00022199578651997185)	(4, 0.00022199578651997185)	(5, 0.00022199578651997185)	(6, 0.00022199578651997185)	(7, 0.00022199578651997185)	(8, 0.00022199578651997185)	(9, 0.00022199578651997185)	(12, 0.0003107941011279606)	(17, 0.0004439915730399437)	(22, 0.0004439915730399437)	(27, 0.0020867603932877353)	(32, 0.0034187351124075663)	(37, 0.0037739283708395216)	(42, 0.0037739283708395216)	(47, 0.003951525000055499)	(52, 0.004661911516919409)	(57, 0.005327898876479324)	(62, 0.0055054955056953025)	(67, 0.006215882022559212)	(72, 0.006482276966383179)	(77, 0.006704272752903149)	(82, 0.008746633988886891)	(87, 0.009812213764182755)	(92, 0.010566999438350658)	(97, 0.011543780899038536)	(102, 0.012298566573206441)	(107, 0.013452944663110294)	(112, 0.014651721910318143)	(117, 0.016294490730565932)	(122, 0.01820365449463769)	(127, 0.02246597359582115)	(132, 0.02424193988798093)	(137, 0.030768616011668103)	(142, 0.03525293089937153)	(147, 0.03809447696682717)	(152, 0.03991484241629094)	(157, 0.04368877078713046)	(162, 0.04724070337145001)	(167, 0.05154742162993746)	(172, 0.05527695084347299)	(177, 0.05811849691092863)	(182, 0.06513356376495974)	(187, 0.06992867275379114)	(192, 0.0749013783718385)	(197, 0.078986100843806)	(202, 0.0843139997202853)	(207, 0.09208385224848432)	(212, 0.09794454101261157)	(217, 0.10318364157448293)	(222, 0.10860033876557022)	(227, 0.11450542668700148)	(232, 0.11814615758592902)	(237, 0.12138729606912062)	(240, 0.1238736488781443)
ERR4223604_1 - illumina_universal_adapter	(1, 0.00025303451643838735)	(2, 0.00025303451643838735)	(3, 0.00025303451643838735)	(4, 0.0005060690328767747)	(5, 0.0005060690328767747)	(6, 0.0005060690328767747)	(7, 0.0005060690328767747)	(8, 0.0005060690328767747)	(9, 0.0005060690328767747)	(12, 0.0005060690328767747)	(17, 0.0005060690328767747)	(22, 0.0007591035493151621)	(27, 0.0025809520676715507)	(32, 0.003238841810411358)	(37, 0.0032894487136990356)	(42, 0.0032894487136990356)	(47, 0.003340055616986713)	(52, 0.007034359556987169)	(57, 0.009058635688494267)	(62, 0.009817739237809429)	(67, 0.011133518723289043)	(72, 0.011437160143015108)	(77, 0.011791408466028852)	(82, 0.0128035465317824)	(87, 0.013967505307398981)	(92, 0.014726608856714143)	(97, 0.015890567632330727)	(102, 0.017712416150687117)	(107, 0.02120429247753686)	(112, 0.023279175512331638)	(117, 0.027175907065482802)	(122, 0.02849168655096242)	(127, 0.03117385242520932)	(132, 0.032793273330415)	(137, 0.03790457056247043)	(142, 0.041345839986032494)	(147, 0.0440280058602794)	(152, 0.0462547096049372)	(157, 0.04832959263973199)	(162, 0.05020204806137605)	(167, 0.05399756580795186)	(172, 0.05738822832822625)	(177, 0.06128495988137742)	(182, 0.06528290524110394)	(187, 0.06973631273041955)	(192, 0.071861802668502)	(197, 0.07418972021973518)	(202, 0.07798523796631099)	(207, 0.08314714210165408)	(212, 0.08724630126795598)	(217, 0.08977664643233983)	(222, 0.09417944701836778)	(227, 0.09711464740905307)	(232, 0.10015106160631373)	(237, 0.10551539335480753)	(240, 0.10753966948631463)
ERR4223604_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00025303451643838735)	(5, 0.00025303451643838735)	(6, 0.00025303451643838735)	(7, 0.00025303451643838735)	(8, 0.00025303451643838735)	(9, 0.00025303451643838735)	(12, 0.00025303451643838735)	(17, 0.00025303451643838735)	(22, 0.0005060690328767747)	(27, 0.002125489938082454)	(32, 0.0025303451643838735)	(37, 0.0025303451643838735)	(42, 0.0025303451643838735)	(47, 0.0025809520676715507)	(52, 0.005971614587945941)	(57, 0.00779346310630233)	(62, 0.008856208075343559)	(67, 0.010374415173973882)	(72, 0.010678056593699947)	(77, 0.011032304916713687)	(82, 0.012044442982467238)	(87, 0.01300597414493311)	(92, 0.013714470790960595)	(97, 0.015131464083015564)	(102, 0.016953312601371954)	(107, 0.01993911989534492)	(112, 0.021305506284112215)	(117, 0.02469616880438661)	(122, 0.025860127580003188)	(127, 0.028137438227948668)	(132, 0.02990867984301739)	(137, 0.03512119088164817)	(142, 0.03861306720849791)	(147, 0.04089037785644341)	(152, 0.04271222637479978)	(157, 0.045444999152334374)	(162, 0.04767170289699217)	(167, 0.051416613740280316)	(172, 0.05500970387370542)	(177, 0.05921007684658265)	(182, 0.06386591194904898)	(187, 0.06867356776137833)	(192, 0.07095087840932382)	(197, 0.07297515454083092)	(202, 0.07712492061042046)	(207, 0.08253985926220195)	(212, 0.08704387365480525)	(217, 0.08947300501261377)	(222, 0.093673377985491)	(227, 0.09630493695645023)	(232, 0.09893649592740945)	(237, 0.10349111722330043)	(240, 0.10526235883836914)
