Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR3518695_1	(32, 16346.0)	(37, 13004.0)	(42, 19252.0)	(47, 23099.0)	(52, 16381.0)	(57, 36174.0)	(62, 24098.0)	(67, 17155.0)	(72, 23512.0)	(77, 54854.0)	(82, 18865.0)	(87, 13589.0)	(92, 8690.0)	(97, 8307.0)	(102, 8073.0)	(107, 11509.0)	(112, 8544.0)	(117, 13870.0)	(122, 13626.0)	(127, 101628.0)	(132, 389292.0)	(137, 312568.0)	(142, 555965.0)	(147, 498157.0)	(151, 1743895.0)
ERR3518695_2	(32, 37871.0)	(37, 28154.0)	(42, 28772.0)	(47, 38951.0)	(52, 27315.0)	(57, 55782.0)	(62, 33605.0)	(67, 27292.0)	(72, 24699.0)	(77, 56019.0)	(82, 20931.0)	(87, 14934.0)	(92, 9392.0)	(97, 8885.0)	(102, 8473.0)	(107, 12523.0)	(112, 9111.0)	(117, 14765.0)	(122, 13411.0)	(127, 28002.0)	(132, 395631.0)	(137, 271167.0)	(142, 601492.0)	(147, 125567.0)	(151, 2057709.0)
ERR3518702_1	(32, 6168.0)	(37, 6921.0)	(42, 5441.0)	(47, 11820.0)	(52, 9721.0)	(57, 36116.0)	(62, 23195.0)	(67, 15369.0)	(72, 19146.0)	(77, 55264.0)	(82, 15447.0)	(87, 16862.0)	(92, 8726.0)	(97, 7699.0)	(102, 6190.0)	(107, 9593.0)	(112, 6545.0)	(117, 8008.0)	(122, 9774.0)	(127, 18085.0)	(132, 55929.0)	(137, 87326.0)	(142, 88226.0)	(147, 360668.0)	(151, 3613423.0)
ERR3518702_2	(32, 15956.0)	(37, 10199.0)	(42, 7574.0)	(47, 19888.0)	(52, 10351.0)	(57, 45999.0)	(62, 25058.0)	(67, 16427.0)	(72, 17850.0)	(77, 50517.0)	(82, 15477.0)	(87, 18603.0)	(92, 8956.0)	(97, 7243.0)	(102, 5912.0)	(107, 10931.0)	(112, 5929.0)	(117, 9122.0)	(122, 8703.0)	(127, 15219.0)	(132, 48618.0)	(137, 85126.0)	(142, 88725.0)	(147, 149341.0)	(151, 3803938.0)
ERR3518707_1	(32, 14747.0)	(37, 10297.0)	(42, 11139.0)	(47, 18323.0)	(52, 15208.0)	(57, 46879.0)	(62, 28511.0)	(67, 19115.0)	(72, 33871.0)	(77, 63574.0)	(82, 18104.0)	(87, 17322.0)	(92, 10445.0)	(97, 10425.0)	(102, 8274.0)	(107, 10598.0)	(112, 8955.0)	(117, 12870.0)	(122, 14576.0)	(127, 38320.0)	(132, 128859.0)	(137, 167410.0)	(142, 228174.0)	(147, 855776.0)	(151, 3153228.0)
ERR3518707_2	(32, 34026.0)	(37, 24152.0)	(42, 19911.0)	(47, 34241.0)	(52, 23135.0)	(57, 64995.0)	(62, 36392.0)	(67, 29054.0)	(72, 33598.0)	(77, 65595.0)	(82, 21853.0)	(87, 20034.0)	(92, 11342.0)	(97, 10875.0)	(102, 7976.0)	(107, 11125.0)	(112, 9138.0)	(117, 13970.0)	(122, 12826.0)	(127, 20551.0)	(132, 108004.0)	(137, 164435.0)	(142, 234045.0)	(147, 195825.0)	(151, 3737902.0)
ERR3518711_1	(32, 16437.0)	(37, 10828.0)	(42, 12056.0)	(47, 14267.0)	(52, 12903.0)	(57, 32205.0)	(62, 18680.0)	(67, 12850.0)	(72, 20293.0)	(77, 57980.0)	(82, 17163.0)	(87, 14435.0)	(92, 8121.0)	(97, 8113.0)	(102, 8134.0)	(107, 28170.0)	(112, 7164.0)	(117, 11939.0)	(122, 16359.0)	(127, 58373.0)	(132, 179415.0)	(137, 59945.0)	(142, 225205.0)	(147, 577865.0)	(151, 2048800.0)
ERR3518711_2	(32, 35267.0)	(37, 22369.0)	(42, 19339.0)	(47, 24936.0)	(52, 22137.0)	(57, 47128.0)	(62, 24376.0)	(67, 20105.0)	(72, 20425.0)	(77, 56041.0)	(82, 18551.0)	(87, 15777.0)	(92, 8255.0)	(97, 7626.0)	(102, 7354.0)	(107, 35094.0)	(112, 6887.0)	(117, 11081.0)	(122, 14624.0)	(127, 20109.0)	(132, 206099.0)	(137, 29308.0)	(142, 231736.0)	(147, 144430.0)	(151, 2428646.0)
ERR3518719_1	(32, 4972.0)	(37, 3876.0)	(42, 3688.0)	(47, 6293.0)	(52, 5333.0)	(57, 19177.0)	(62, 12307.0)	(67, 8380.0)	(72, 8714.0)	(77, 29154.0)	(82, 9785.0)	(87, 8623.0)	(92, 4558.0)	(97, 3842.0)	(102, 3435.0)	(107, 8263.0)	(112, 3305.0)	(117, 4755.0)	(122, 6292.0)	(127, 8840.0)	(132, 72014.0)	(137, 30619.0)	(142, 109045.0)	(147, 65536.0)	(151, 2240907.0)
ERR3518719_2	(32, 9498.0)	(37, 6536.0)	(42, 4476.0)	(47, 9411.0)	(52, 5604.0)	(57, 25032.0)	(62, 12679.0)	(67, 8832.0)	(72, 9013.0)	(77, 25502.0)	(82, 8717.0)	(87, 7918.0)	(92, 4167.0)	(97, 3279.0)	(102, 2988.0)	(107, 9435.0)	(112, 3390.0)	(117, 4725.0)	(122, 5648.0)	(127, 7786.0)	(132, 69776.0)	(137, 26805.0)	(142, 106481.0)	(147, 52141.0)	(151, 2251874.0)
