Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR3518689_1	(1, 31.728906709604523)	(2, 32.127815826484664)	(3, 32.64435392672969)	(4, 35.59899750690316)	(5, 35.91082201748379)	(6, 35.88563903437306)	(7, 36.2861501474432)	(8, 36.357440340140066)	(9, 38.097617458800464)	(12, 38.45043298851105)	(17, 39.75689112322469)	(22, 39.392963982914374)	(27, 39.158690605533934)	(32, 38.95996734415438)	(37, 38.76669280302502)	(42, 38.53966298113737)	(47, 38.003752319179846)	(52, 37.00112748580395)	(57, 35.89703138349357)	(62, 35.789262221468576)	(67, 34.61225803817072)	(72, 34.041701914145776)	(77, 33.70157987607845)	(82, 33.103473489518606)	(87, 33.1069591279803)	(92, 33.06643023102883)	(97, 33.04818610420223)	(102, 31.80510788422215)	(107, 33.59188414203246)	(112, 33.522703836523455)	(117, 33.47386867988239)	(122, 33.47201228514203)	(127, 33.62556468798373)	(132, 33.49525325973759)	(137, 33.81794902681238)	(142, 33.27042465372769)	(147, 33.918317349047086)	(150, 32.98671543647329)																				
ERR3518689_2	(1, 32.02896009001693)	(2, 32.57411947131791)	(3, 32.6018893513375)	(4, 35.80546138249235)	(5, 35.95784017752733)	(6, 35.84639849577384)	(7, 36.048859326947536)	(8, 36.138073700776616)	(9, 37.85109647804096)	(12, 38.00434551196837)	(17, 39.26401224149275)	(22, 38.997272831121535)	(27, 38.68502057666025)	(32, 38.588840495480746)	(37, 38.11284504694982)	(42, 37.897211211033806)	(47, 37.045123075827966)	(52, 36.43359256239166)	(57, 35.6448901817184)	(62, 35.29050812405076)	(67, 34.461089386898614)	(72, 33.77356543624757)	(77, 33.49709360558063)	(82, 32.883570408875855)	(87, 32.9371777611268)	(92, 32.50589810162166)	(97, 32.483695248296605)	(102, 31.413610661063576)	(107, 33.33854137447624)	(112, 33.17064624752312)	(117, 33.45277628151486)	(122, 33.103188904398976)	(127, 33.322145532760274)	(132, 33.05051822226041)	(137, 33.61807387642263)	(142, 33.00961811277307)	(147, 33.66881450956304)	(150, 32.33666086866284)																				
ERR3518695_1	(1, 30.48975294732022)	(2, 30.934119454148675)	(3, 32.26392061872398)	(4, 34.94877979816492)	(5, 35.57353599701098)	(6, 35.90522124930989)	(7, 36.36210252343212)	(8, 36.46412272212832)	(9, 37.982864243670285)	(12, 38.33782976281454)	(17, 39.467482589971326)	(22, 38.77017531913428)	(27, 38.48350753698374)	(32, 38.0923427572361)	(37, 38.0709626514869)	(42, 37.66326942067469)	(47, 37.18195432961498)	(52, 36.06408310327875)	(57, 35.48592878687347)	(62, 34.90624341086373)	(67, 34.09264318428913)	(72, 33.4248308939277)	(77, 33.244529871725675)	(82, 32.609360643179926)	(87, 32.65019182261001)	(92, 32.83482668234144)	(97, 32.85347259794999)	(102, 31.99699732564661)	(107, 32.9871784880394)	(112, 33.23912022812935)	(117, 33.15614444818315)	(122, 32.91910350069778)	(127, 32.94882898350479)	(132, 33.00254813481404)	(137, 33.000338068325235)	(142, 33.21610467732397)	(147, 33.46068088814251)	(150, 33.09370753089365)																				
ERR3518695_2	(1, 31.281407727164453)	(2, 31.631038516342304)	(3, 31.65713856107135)	(4, 34.84951447340343)	(5, 34.99288663857031)	(6, 34.95122837811259)	(7, 34.99283449265185)	(8, 35.10006700497386)	(9, 33.25151318089343)	(12, 34.27959137850773)	(17, 36.138175191553984)	(22, 37.3304396736273)	(27, 36.954655073734585)	(32, 36.88271710123466)	(37, 36.76418626078098)	(42, 36.112168758349085)	(47, 35.75216330941503)	(52, 35.15703919672492)	(57, 34.78640474907524)	(62, 34.32339029613149)	(67, 33.66557253433744)	(72, 32.77205030504584)	(77, 32.80040003189305)	(82, 32.11819501152998)	(87, 32.112505495177615)	(92, 32.16834689673076)	(97, 32.360167524676605)	(102, 31.244491119544087)	(107, 32.4875740481843)	(112, 32.811518804545486)	(117, 32.70404849724402)	(122, 32.28291990431724)	(127, 32.3053066025188)	(132, 32.47086241151893)	(137, 32.4815365118525)	(142, 32.77785609539488)	(147, 33.01984530769999)	(150, 32.4481369506773)																				
ERR3518702_1	(1, 31.709754086379654)	(2, 32.1095344341712)	(3, 32.6438619780872)	(4, 35.610425216286785)	(5, 35.91094178105775)	(6, 35.91974030924578)	(7, 36.295898936881535)	(8, 36.35915801763882)	(9, 38.09481209384445)	(12, 38.441043019222676)	(17, 39.76322846984069)	(22, 39.35219450060889)	(27, 39.09717673161602)	(32, 38.92650121937241)	(37, 38.70458890269946)	(42, 38.386538042620124)	(47, 37.722249443383234)	(52, 36.885505432946935)	(57, 35.70450963461614)	(62, 35.47942731799238)	(67, 34.56109013293222)	(72, 33.97849421114673)	(77, 33.6505044779109)	(82, 33.038698890038596)	(87, 32.993915690171875)	(92, 33.100468849922294)	(97, 33.099845601769275)	(102, 32.02300581224731)	(107, 33.423211589415175)	(112, 33.514054392277004)	(117, 33.454622249286544)	(122, 33.62723275597513)	(127, 33.42095987253044)	(132, 33.501454986977066)	(137, 33.7494521691735)	(142, 33.579667143610905)	(147, 33.84997587319354)	(150, 33.230296598547184)																				
ERR3518702_2	(1, 32.140777339569254)	(2, 32.69500997631541)	(3, 32.667983735784695)	(4, 35.836405087720934)	(5, 35.9872644814293)	(6, 35.97214562088402)	(7, 36.16955315614544)	(8, 36.241957970189674)	(9, 38.043281348088776)	(12, 38.159195070620584)	(17, 39.4525190474096)	(22, 39.138694286687894)	(27, 38.94955129905355)	(32, 38.862778576429875)	(37, 38.362309353935395)	(42, 37.97944159521541)	(47, 37.154538425654124)	(52, 36.62809627460483)	(57, 35.63142808378764)	(62, 35.13855453933521)	(67, 34.49086580688405)	(72, 33.83346208420878)	(77, 33.6009049015417)	(82, 32.928745680080624)	(87, 32.862553043887964)	(92, 32.71057878511446)	(97, 32.79092457275702)	(102, 31.808338392539042)	(107, 33.275624623749394)	(112, 33.30578201204804)	(117, 33.461973797447094)	(122, 33.31855996954447)	(127, 33.21878378418279)	(132, 33.19465237170239)	(137, 33.620172657223065)	(142, 33.35732354385509)	(147, 33.66992230128897)	(150, 32.598751435192554)																				
ERR3518707_1	(1, 30.536924165824065)	(2, 30.954468756319514)	(3, 32.27366147623862)	(4, 34.968401415571286)	(5, 35.58709342770475)	(6, 35.91469120323559)	(7, 36.368877856420625)	(8, 36.45844914054601)	(9, 37.974076440849345)	(12, 38.346950171890796)	(17, 39.522701435793735)	(22, 38.97036525783619)	(27, 38.65325763397371)	(32, 38.31895722462129)	(37, 38.1575548158917)	(42, 37.890555413711056)	(47, 37.35534016283288)	(52, 36.2842769063356)	(57, 35.42262534873121)	(62, 35.088741759437426)	(67, 34.192705946072905)	(72, 33.88890609873933)	(77, 33.33402464119289)	(82, 32.75742098254298)	(87, 32.66275236469528)	(92, 32.959827958554854)	(97, 32.87120178756585)	(102, 32.08920253005078)	(107, 33.20867204421561)	(112, 33.370178658267754)	(117, 33.27586107963164)	(122, 33.218425166428275)	(127, 33.0706901282269)	(132, 33.31844425128563)	(137, 33.41964612528328)	(142, 33.32374004524031)	(147, 33.60926650043792)	(150, 33.23908501640514)																				
ERR3518707_2	(1, 31.357851567239635)	(2, 31.59785743174924)	(3, 31.750434782608696)	(4, 34.865839433771484)	(5, 35.07612760364004)	(6, 35.08537674418605)	(7, 35.06537330637007)	(8, 35.22577269969666)	(9, 33.29011971688574)	(12, 34.372701476238625)	(17, 36.3133396562184)	(22, 37.692410475227504)	(27, 37.713533710819014)	(32, 37.4671733154733)	(37, 37.039648113439725)	(42, 36.48911666827522)	(47, 36.10499896309794)	(52, 35.59812763136648)	(57, 34.9619210670056)	(62, 34.549382126007075)	(67, 33.914009211622556)	(72, 33.39795064862295)	(77, 33.069739013939675)	(82, 32.394444998824476)	(87, 32.22743316173778)	(92, 32.381618326594165)	(97, 32.48663045913421)	(102, 31.41808961911669)	(107, 32.70794858333693)	(112, 32.966850195697035)	(117, 32.92177756098495)	(122, 32.629461015993456)	(127, 32.49395815049873)	(132, 32.757794355333836)	(137, 33.03199344437228)	(142, 32.953722238969576)	(147, 33.24754239506508)	(150, 32.598115690099334)																				
ERR3518711_1	(1, 30.495563159559477)	(2, 30.934969663858297)	(3, 32.256916352761884)	(4, 34.9543563274578)	(5, 35.56754492911982)	(6, 35.90112919458262)	(7, 36.369781177214826)	(8, 36.463164160220835)	(9, 37.965250884205076)	(12, 38.33672254651062)	(17, 39.509493688357246)	(22, 39.021494205940705)	(27, 38.6785787733272)	(32, 38.3409769710874)	(37, 38.13037499972928)	(42, 37.78184223347256)	(47, 37.20641676268163)	(52, 36.16311177357342)	(57, 35.28083864689607)	(62, 34.97603017421598)	(67, 34.106577189911675)	(72, 33.58460578836298)	(77, 33.31531089426486)	(82, 32.6538802565444)	(87, 32.57146308518551)	(92, 32.743790084534865)	(97, 32.7284864762146)	(102, 32.10293606991063)	(107, 33.06264687585551)	(112, 33.1144291762109)	(117, 33.12032215312262)	(122, 33.14099402461248)	(127, 33.05085352969827)	(132, 33.10485495112145)	(137, 33.20794614208698)	(142, 33.23572253548682)	(147, 33.539799855986516)	(150, 33.22645730975432)																				
ERR3518711_2	(1, 31.32547344509302)	(2, 31.55222388360123)	(3, 31.67023406274262)	(4, 34.868502458521434)	(5, 34.95789947379015)	(6, 34.90268050723179)	(7, 35.021999884981454)	(8, 35.14440175978377)	(9, 33.25958334531443)	(12, 34.322690858901)	(17, 36.23277229203209)	(22, 37.72694965063117)	(27, 37.5444373005147)	(32, 37.39242884432814)	(37, 36.90604193374978)	(42, 36.34849967413478)	(47, 35.86108424040086)	(52, 35.44651141541436)	(57, 34.66307225032769)	(62, 34.38755926348735)	(67, 33.74979104328278)	(72, 32.956376523325886)	(77, 32.954759024478086)	(82, 32.26608578994556)	(87, 32.08445749614396)	(92, 32.04013367262197)	(97, 32.2254639620529)	(102, 31.372137971597557)	(107, 32.590854438981225)	(112, 32.72404916494398)	(117, 32.67597334484627)	(122, 32.58033067669524)	(127, 32.54293155886793)	(132, 32.54185712068168)	(137, 32.760793147987485)	(142, 32.83461468190573)	(147, 33.14432945752192)	(150, 32.46114766680459)																				
