Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR3518658_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 3.99668435066269e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
ERR3518658_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 7.99336870132538e-06)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
ERR3518664_1	(1, 0.0)	(2, 0.02215191352341607)	(3, 0.00018693597910055755)	(4, 9.346798955027877e-05)	(5, 0.00021030297648812722)	(6, 0.004112591540212266)	(7, 0.003248012636872187)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 1.4020198432541814e-05)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 4.686943352243432e-06)	(42, 0.0009345739528603715)	(47, 9.419640411821027e-06)	(52, 0.0001370616367125549)	(57, 0.0005462640266945454)	(62, 0.0007186815815134399)	(67, 0.00013484005537495818)	(72, 0.0011784384782186415)	(77, 0.0)	(82, 0.0)	(87, 3.457583745641963e-05)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
ERR3518664_2	(1, 0.0)	(2, 0.0)	(3, 2.3366997387569693e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.00011683498693784846)	(27, 0.0015609154254896554)	(32, 0.0013529210079514305)	(37, 9.396952897068832e-06)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
ERR3518669_1	(1, 0.0)	(2, 0.022774507788314326)	(3, 8.104807042104743e-05)	(4, 0.00016209614084209485)	(5, 0.00013508011736841237)	(6, 0.005376188671262812)	(7, 0.003620147145473452)	(8, 5.4032046947364955e-05)	(9, 0.0)	(12, 5.403204694736495e-06)	(17, 5.403204694736495e-06)	(22, 0.0)	(27, 0.0)	(32, 0.0)	(37, 0.0)	(42, 0.000998276074876131)	(47, 1.0875666821119262e-05)	(52, 0.00012543498671916173)	(57, 0.0006522123976259468)	(62, 0.0006185128289777237)	(67, 0.0001331108016531474)	(72, 0.00134590609846738)	(77, 0.0)	(82, 0.0)	(87, 2.841949955080139e-05)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
ERR3518669_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.7016023473682477e-05)	(12, 0.0)	(17, 5.403204694736495e-06)	(22, 0.00012967691267367588)	(27, 0.0013129787408209684)	(32, 0.0013149019789274782)	(37, 5.427695925710909e-06)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
ERR3518674_1	(1, 0.0)	(2, 0.022467513222742975)	(3, 0.00021580322199006056)	(4, 0.0001438688146600404)	(5, 0.00016784695043671377)	(6, 0.004316064439801212)	(7, 0.0036686547738310304)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 1.4386881466004038e-05)	(22, 0.0)	(27, 0.0)	(32, 4.799592303431377e-06)	(37, 4.807797940560521e-06)	(42, 0.0011127534795825392)	(47, 4.829100779421695e-06)	(52, 0.0001307969258071878)	(57, 0.0005792665978621265)	(62, 0.0006868566207900411)	(67, 0.0001527835687678843)	(72, 0.0012946100639428665)	(77, 0.0)	(82, 0.0)	(87, 2.0192300362890975e-05)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
ERR3518674_2	(1, 0.0)	(2, 0.0)	(3, 4.79562715533468e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.00017264257759204847)	(27, 0.0017360170302311538)	(32, 0.0013160795622930716)	(37, 4.818965211070917e-06)	(42, 4.830566433186069e-06)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
ERR3518680_1	(1, 0.0)	(2, 0.07295472747960517)	(3, 2.6528991810765516e-05)	(4, 2.6528991810765516e-05)	(5, 7.958697543229656e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0005358856345774634)	(22, 0.0)	(27, 2.6528991810765516e-05)	(32, 0.0007274885311698568)	(37, 1.0637852553725543e-05)	(42, 0.0001811657236369104)	(47, 0.0012342409866746855)	(52, 0.0005146965432283172)	(57, 9.157461801533455e-05)	(62, 0.0010578164498595002)	(67, 8.1811757363999e-05)	(72, 0.0010287987586995743)	(77, 0.0)	(82, 2.2260408716686323e-05)	(87, 0.00036311735466884284)	(92, 0.0023648458308694843)	(97, 0.000264587735153757)	(102, 0.0010716511606264083)	(107, 0.0001525254744375496)	(112, 0.0023603411072139384)	(117, 6.237358363058598e-05)	(122, 1.1367229312310476e-05)	(127, 0.00011974514811191837)	(132, 4.0640288912975036e-05)	(137, 0.0004170856142702863)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
ERR3518680_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0002759015148319614)	(22, 0.0017668308545969835)	(27, 0.0008330103428580372)	(32, 0.0010842520730873063)	(37, 0.00022942565421659011)	(42, 5.349978185463949e-06)	(47, 0.0)	(52, 5.39862706435401e-06)	(57, 0.0010643224927562266)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 1.6902019780095708e-05)	(92, 0.001144809764071143)	(97, 5.678922576636208e-06)	(102, 0.0)	(107, 0.00021653708536638387)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)																				
