Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR3518689_1	(18.0, 12.0)	(19.0, 105.0)	(20.0, 340.0)	(21.0, 1245.0)	(22.0, 3391.0)	(23.0, 7609.0)	(24.0, 15622.0)	(25.0, 28222.0)	(26.0, 43624.0)	(27.0, 55848.0)	(28.0, 68598.0)	(29.0, 85941.0)	(30.0, 107343.0)	(31.0, 135107.0)	(32.0, 171302.0)	(33.0, 231396.0)	(34.0, 376028.0)	(35.0, 981312.0)	(36.0, 1995188.0)	(37.0, 822607.0)	(38.0, 6326.0)	(39.0, 1402.0)	(40.0, 21.0)															
ERR3518689_2	(17.0, 3.0)	(18.0, 36.0)	(19.0, 292.0)	(20.0, 1350.0)	(21.0, 4336.0)	(22.0, 10483.0)	(23.0, 19139.0)	(24.0, 30756.0)	(25.0, 46300.0)	(26.0, 63823.0)	(27.0, 76981.0)	(28.0, 88290.0)	(29.0, 103246.0)	(30.0, 124328.0)	(31.0, 154600.0)	(32.0, 194511.0)	(33.0, 267437.0)	(34.0, 441596.0)	(35.0, 1137490.0)	(36.0, 1726375.0)	(37.0, 639985.0)	(38.0, 6012.0)	(39.0, 1213.0)	(40.0, 7.0)														
ERR3518695_1	(17.0, 1.0)	(18.0, 24.0)	(19.0, 153.0)	(20.0, 568.0)	(21.0, 1736.0)	(22.0, 4201.0)	(23.0, 9211.0)	(24.0, 17592.0)	(25.0, 29555.0)	(26.0, 43356.0)	(27.0, 57657.0)	(28.0, 72252.0)	(29.0, 89038.0)	(30.0, 110350.0)	(31.0, 135892.0)	(32.0, 173710.0)	(33.0, 234937.0)	(34.0, 374975.0)	(35.0, 834340.0)	(36.0, 1269752.0)	(37.0, 481502.0)	(38.0, 8261.0)	(39.0, 1378.0)	(40.0, 12.0)														
ERR3518695_2	(17.0, 3.0)	(18.0, 84.0)	(19.0, 776.0)	(20.0, 3156.0)	(21.0, 8712.0)	(22.0, 17568.0)	(23.0, 31084.0)	(24.0, 49565.0)	(25.0, 72687.0)	(26.0, 100484.0)	(27.0, 130887.0)	(28.0, 128081.0)	(29.0, 147683.0)	(30.0, 150329.0)	(31.0, 165340.0)	(32.0, 213847.0)	(33.0, 286626.0)	(34.0, 437098.0)	(35.0, 797817.0)	(36.0, 921105.0)	(37.0, 281855.0)	(38.0, 5009.0)	(39.0, 653.0)	(40.0, 4.0)														
ERR3518702_1	(18.0, 13.0)	(19.0, 104.0)	(20.0, 388.0)	(21.0, 1194.0)	(22.0, 3238.0)	(23.0, 7237.0)	(24.0, 14930.0)	(25.0, 26349.0)	(26.0, 40646.0)	(27.0, 51551.0)	(28.0, 63163.0)	(29.0, 76900.0)	(30.0, 93747.0)	(31.0, 117786.0)	(32.0, 150732.0)	(33.0, 205634.0)	(34.0, 339917.0)	(35.0, 914416.0)	(36.0, 1657649.0)	(37.0, 728621.0)	(38.0, 6099.0)	(39.0, 1337.0)	(40.0, 11.0)															
ERR3518702_2	(17.0, 2.0)	(18.0, 39.0)	(19.0, 237.0)	(20.0, 1053.0)	(21.0, 3046.0)	(22.0, 7481.0)	(23.0, 13798.0)	(24.0, 22418.0)	(25.0, 35075.0)	(26.0, 49792.0)	(27.0, 61148.0)	(28.0, 72659.0)	(29.0, 85751.0)	(30.0, 102524.0)	(31.0, 128241.0)	(32.0, 165419.0)	(33.0, 226303.0)	(34.0, 369172.0)	(35.0, 994848.0)	(36.0, 1523339.0)	(37.0, 631415.0)	(38.0, 6572.0)	(39.0, 1322.0)	(40.0, 8.0)														
ERR3518707_1	(17.0, 2.0)	(18.0, 33.0)	(19.0, 183.0)	(20.0, 666.0)	(21.0, 2008.0)	(22.0, 4842.0)	(23.0, 10507.0)	(24.0, 20002.0)	(25.0, 34124.0)	(26.0, 51477.0)	(27.0, 67754.0)	(28.0, 84291.0)	(29.0, 105493.0)	(30.0, 130692.0)	(31.0, 162947.0)	(32.0, 209327.0)	(33.0, 280383.0)	(34.0, 445213.0)	(35.0, 999582.0)	(36.0, 1632649.0)	(37.0, 693647.0)	(38.0, 7941.0)	(39.0, 1229.0)	(40.0, 8.0)														
ERR3518707_2	(17.0, 4.0)	(18.0, 114.0)	(19.0, 877.0)	(20.0, 3723.0)	(21.0, 9480.0)	(22.0, 19117.0)	(23.0, 32199.0)	(24.0, 50515.0)	(25.0, 75624.0)	(26.0, 108323.0)	(27.0, 148794.0)	(28.0, 147095.0)	(29.0, 171741.0)	(30.0, 178896.0)	(31.0, 192351.0)	(32.0, 249190.0)	(33.0, 337526.0)	(34.0, 518697.0)	(35.0, 999218.0)	(36.0, 1234866.0)	(37.0, 461302.0)	(38.0, 4651.0)	(39.0, 692.0)	(40.0, 5.0)														
ERR3518711_1	(16.0, 1.0)	(17.0, 1.0)	(18.0, 18.0)	(19.0, 142.0)	(20.0, 496.0)	(21.0, 1431.0)	(22.0, 3668.0)	(23.0, 7753.0)	(24.0, 15174.0)	(25.0, 25506.0)	(26.0, 36843.0)	(27.0, 48432.0)	(28.0, 60420.0)	(29.0, 75128.0)	(30.0, 93361.0)	(31.0, 117610.0)	(32.0, 151737.0)	(33.0, 206759.0)	(34.0, 332109.0)	(35.0, 742453.0)	(36.0, 1117302.0)	(37.0, 427599.0)	(38.0, 12389.0)	(39.0, 1359.0)	(40.0, 9.0)													
ERR3518711_2	(17.0, 1.0)	(18.0, 76.0)	(19.0, 657.0)	(20.0, 2664.0)	(21.0, 7127.0)	(22.0, 14378.0)	(23.0, 24202.0)	(24.0, 38811.0)	(25.0, 57085.0)	(26.0, 80718.0)	(27.0, 108003.0)	(28.0, 105043.0)	(29.0, 125954.0)	(30.0, 124524.0)	(31.0, 140603.0)	(32.0, 184993.0)	(33.0, 252252.0)	(34.0, 386351.0)	(35.0, 732302.0)	(36.0, 844382.0)	(37.0, 238636.0)	(38.0, 8288.0)	(39.0, 650.0)															
