Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR1755910_1	(1, 34.67039101926304)	(2, 31.770789949156736)	(3, 32.14320318237685)	(4, 32.47607553425077)	(5, 29.72941112057198)	(6, 31.95791223542339)	(7, 32.20556406194836)	(8, 33.27441675618832)	(9, 32.833437801486596)	(12, 34.20640421245802)	(17, 34.05404924225976)	(22, 34.13828292115612)	(27, 34.175265213804146)	(32, 33.572189812431645)	(37, 32.004579879894095)	(42, 31.612382862983292)	(47, 30.979133471847643)	(52, 31.97354994819732)	(57, 31.960710366095157)	(62, 31.506959703812253)	(67, 30.6932219321669)	(72, 30.65975371519378)	(77, 32.30440088875463)	(82, 33.0057498445578)	(87, 33.038723264641696)	(92, 31.790950497166612)	(97, 32.07162379269092)	(102, 32.112092414754606)	(107, 32.40496660247284)	(112, 32.06697883265806)	(117, 30.455453033395962)	(122, 30.29597995491691)	(127, 29.581046366530803)	(132, 30.407168122801266)	(137, 29.87264300933169)	(142, 27.310662802639865)	(147, 29.08325269460418)	(150, 29.758694404938176)
ERR1755910_2	(1, 38.48402581244442)	(2, 37.583120149074794)	(3, 31.321930571472265)	(4, 26.7514315598291)	(5, 33.57075011280673)	(6, 33.5384836132891)	(7, 33.80246551134958)	(8, 35.55048454972653)	(9, 35.3499708307295)	(12, 35.493441917280094)	(17, 35.55298064633062)	(22, 34.52422389916684)	(27, 35.570680823989406)	(32, 35.066306416947484)	(37, 34.22818544250316)	(42, 33.95350565109881)	(47, 33.61109510525213)	(52, 32.545722836859476)	(57, 33.004634045210636)	(62, 33.54801294054874)	(67, 32.859845693682026)	(72, 32.86300122830876)	(77, 33.39678235266355)	(82, 32.8957997683334)	(87, 32.472673760607435)	(92, 31.677609757748503)	(97, 31.539513648469814)	(102, 31.17375280169677)	(107, 31.35891451820122)	(112, 31.15974300981323)	(117, 29.99550338022671)	(122, 29.811103594697357)	(127, 29.247440887869594)	(132, 29.67225122689421)	(137, 29.17254887091526)	(142, 27.6975350532285)	(147, 28.390495737793135)	(150, 29.214539224297095)
ERR1755912_1	(1, 35.3917042401453)	(2, 33.1656590425457)	(3, 33.16838058099831)	(4, 33.69390443362903)	(5, 31.47779703772601)	(6, 33.00802617584471)	(7, 32.863229221845586)	(8, 34.23952025320338)	(9, 33.852420992072474)	(12, 34.54136017236134)	(17, 34.24421161184213)	(22, 33.71583905536171)	(27, 34.0170421527593)	(32, 33.28883058432159)	(37, 29.849157013957125)	(42, 30.309780364896454)	(47, 31.35095488012133)	(52, 32.06913096289849)	(57, 32.29800191371642)	(62, 32.94883681197746)	(67, 33.13566450018074)	(72, 32.726845797033384)	(77, 33.521645688302975)	(82, 33.682502230306476)	(87, 33.556152709579145)	(92, 32.68440945151933)	(97, 32.93303363706974)	(102, 32.7573948831829)	(107, 33.11185007171415)	(112, 32.98371817403297)	(117, 30.746477737368878)	(122, 30.8193644956573)	(127, 29.720312539188974)	(132, 31.159907492394826)	(137, 30.60573370802187)	(142, 27.533609487456317)	(147, 29.78751251444975)	(150, 30.920015383144477)
ERR1755912_2	(1, 38.20712126223677)	(2, 37.14569971226135)	(3, 33.525083664717734)	(4, 30.590404732476003)	(5, 34.15450678643757)	(6, 34.088196746588544)	(7, 33.75346989935365)	(8, 35.78992840107336)	(9, 35.514573867428)	(12, 35.45529025460436)	(17, 35.0509112552982)	(22, 34.11176230184291)	(27, 35.23941497285508)	(32, 34.939440435054784)	(37, 33.11725493574811)	(42, 33.39126548932037)	(47, 33.472376078875335)	(52, 32.64986361761762)	(57, 33.05661099769844)	(62, 33.83116933559538)	(67, 33.43123760575122)	(72, 33.2137714493369)	(77, 33.87850319066142)	(82, 33.26670382844723)	(87, 32.853351216607095)	(92, 32.15033523695294)	(97, 32.27409281593696)	(102, 32.058472681174045)	(107, 32.23614829893388)	(112, 32.00063068602339)	(117, 30.588212542519916)	(122, 30.733125931342546)	(127, 29.319650368877014)	(132, 29.837872558630703)	(137, 29.519499558508)	(142, 27.911773245178654)	(147, 28.353602019664628)	(150, 29.377062248551287)
ERR1755913_1	(1, 35.26652215755041)	(2, 33.210769707681344)	(3, 32.799949336985385)	(4, 33.26784772409709)	(5, 31.134497580204872)	(6, 32.93349611814892)	(7, 33.02318353428891)	(8, 33.9564008901885)	(9, 33.5157494887431)	(12, 34.443698122461065)	(17, 34.10419138127273)	(22, 34.04817428077026)	(27, 34.39942651318164)	(32, 33.72654376553439)	(37, 31.785815638925207)	(42, 31.553051150267077)	(47, 31.590285066555275)	(52, 31.94447647367695)	(57, 32.53721543341125)	(62, 32.799237946872054)	(67, 32.06085399568653)	(72, 32.7740895013621)	(77, 33.67800089339583)	(82, 33.60451112221127)	(87, 33.53571241198956)	(92, 32.92673799519925)	(97, 32.8977296650199)	(102, 32.72086145073584)	(107, 32.73010525932923)	(112, 32.620613784191505)	(117, 31.707671993973566)	(122, 31.053960755778313)	(127, 30.866235462639246)	(132, 31.183685150431625)	(137, 30.52184389168101)	(142, 29.147533951773333)	(147, 29.940511291252868)	(150, 30.070261142022225)
ERR1755913_2	(1, 38.231624825339836)	(2, 37.39360072917727)	(3, 33.22526418795747)	(4, 22.759245421821646)	(5, 33.18648153460353)	(6, 33.159856848066475)	(7, 33.353819852498916)	(8, 35.21926096773298)	(9, 35.03577641648237)	(12, 35.38447514042215)	(17, 35.52249322179759)	(22, 34.28343758964346)	(27, 35.42949165795294)	(32, 35.07407331420605)	(37, 34.296607079044776)	(42, 33.910738738376025)	(47, 33.81656857374721)	(52, 32.555827835914855)	(57, 33.23700914790826)	(62, 33.95974449597421)	(67, 33.39846125898322)	(72, 33.63539389949172)	(77, 34.16980636112442)	(82, 33.441143852835246)	(87, 33.129953845289435)	(92, 32.49113803463719)	(97, 32.224675810207124)	(102, 32.132116981421845)	(107, 31.960571240673687)	(112, 32.255793763547494)	(117, 31.37815273100724)	(122, 30.895458228832247)	(127, 30.456004253221305)	(132, 30.58215147914857)	(137, 30.18506111650518)	(142, 29.070851270082915)	(147, 29.535728636141545)	(150, 29.940542054966265)
ERR1755917_1	(1, 34.92388365374251)	(2, 32.526851822331935)	(3, 32.59274938552185)	(4, 32.817405482708836)	(5, 30.37810711883757)	(6, 32.33230022058969)	(7, 32.775434992841845)	(8, 33.58431672610291)	(9, 33.15797743699986)	(12, 34.49381195070815)	(17, 34.27078697230408)	(22, 34.131924322404046)	(27, 34.69479875935381)	(32, 33.90490093795019)	(37, 32.3451165531183)	(42, 30.861879394846312)	(47, 30.9602672911754)	(52, 30.936917963925715)	(57, 31.401831643254553)	(62, 31.326442353958548)	(67, 30.98764973783692)	(72, 31.792272138901108)	(77, 32.899934312385106)	(82, 33.320583188098055)	(87, 33.049820285898306)	(92, 32.22146682560633)	(97, 32.173760741436254)	(102, 32.38275485193136)	(107, 32.36616047165359)	(112, 32.018347155910945)	(117, 30.73641460004219)	(122, 30.518202150602626)	(127, 29.63330854293193)	(132, 30.67770598396291)	(137, 29.588522310266463)	(142, 28.208099843983387)	(147, 29.411406602865448)	(150, 30.071515536078362)
ERR1755917_2	(1, 38.67218064974517)	(2, 37.941472379226006)	(3, 34.30990725516898)	(4, 27.650999181707906)	(5, 34.47206951991)	(6, 34.46100511774145)	(7, 34.69232369145378)	(8, 36.30359851158893)	(9, 36.12706451754925)	(12, 36.169370370539056)	(17, 36.02162765736182)	(22, 34.840696747630524)	(27, 36.12301040399946)	(32, 35.75496056173544)	(37, 34.42291655976426)	(42, 33.91704808990086)	(47, 33.8024850808108)	(52, 32.690554171644216)	(57, 33.00989361822709)	(62, 33.51331530025787)	(67, 33.17846744482948)	(72, 33.489095210320784)	(77, 33.81481362451929)	(82, 33.3207440939468)	(87, 32.67813205662712)	(92, 32.15655319819395)	(97, 31.890834439788033)	(102, 31.946667224277952)	(107, 31.864712179352274)	(112, 31.781516567419498)	(117, 30.897072133042123)	(122, 30.580661980451538)	(127, 29.754443243249888)	(132, 30.3479728588307)	(137, 29.792048077440267)	(142, 28.6546635058064)	(147, 29.04497235535838)	(150, 29.69769977261092)
ERR1755919_1	(1, 39.332026304305714)	(2, 39.10891229093243)	(3, 39.213382476972484)	(4, 39.13982063289232)	(5, 38.90645406530873)	(6, 39.092665830429006)	(7, 38.74121803690274)	(8, 39.29280271379342)	(9, 38.9678637193529)	(12, 39.07492979713083)	(17, 39.00192566225522)	(22, 38.5760543150059)	(27, 38.57876165074097)	(32, 38.371293261093626)	(37, 37.825093525772296)	(42, 37.0231742661111)	(47, 36.77840101538697)	(52, 37.357135071094156)	(57, 36.97032165202348)	(62, 36.69613337494933)	(67, 36.462824654416764)	(72, 36.30859651393799)	(77, 36.420561818445336)	(82, 35.82545935350398)	(87, 35.49610630661364)	(92, 35.059198011839676)	(97, 34.66448751068274)	(102, 33.83010061310103)	(107, 33.64362672062706)	(112, 33.37882917068365)	(117, 32.482362726490706)	(122, 31.66323684519)	(127, 30.934250414427204)	(132, 31.163996433487664)	(137, 30.61996454089148)	(142, 29.61211241803855)	(147, 29.55332140385575)	(150, 29.844707852931606)
ERR1755919_2	(1, 38.697399705294714)	(2, 38.58210849303059)	(3, 36.480591230463055)	(4, 36.459938867243686)	(5, 38.29112909696117)	(6, 38.78430547592164)	(7, 38.418398826658105)	(8, 39.116044119690265)	(9, 39.03294104524489)	(12, 38.164352499613514)	(17, 38.46287809259538)	(22, 38.28802539631599)	(27, 38.36497723176633)	(32, 37.78296233351218)	(37, 36.904704241536116)	(42, 35.98087244664616)	(47, 35.85672173028094)	(52, 35.784240573298334)	(57, 35.835384036758576)	(62, 35.82860651951184)	(67, 35.7111030147558)	(72, 35.11256044706124)	(77, 34.991323476212116)	(82, 34.51298064249637)	(87, 33.95566978786263)	(92, 32.923342385992655)	(97, 32.407618485061235)	(102, 31.713736385074803)	(107, 31.520471093408723)	(112, 31.22345436813672)	(117, 30.508261472724552)	(122, 29.60905438920139)	(127, 29.015451554562343)	(132, 29.419830365453702)	(137, 29.217837363535352)	(142, 28.54552860237307)	(147, 28.18603931393779)	(150, 28.77859663486626)
