Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR1755910_1	(11.0, 1.0)	(12.0, 1.0)	(13.0, 5.0)	(14.0, 2.0)	(15.0, 5.0)	(16.0, 17.0)	(17.0, 158.0)	(18.0, 733.0)	(19.0, 2517.0)	(20.0, 6032.0)	(21.0, 10769.0)	(22.0, 16581.0)	(23.0, 22929.0)	(24.0, 30091.0)	(25.0, 38047.0)	(26.0, 45472.0)	(27.0, 52246.0)	(28.0, 58468.0)	(29.0, 62164.0)	(30.0, 64452.0)	(31.0, 68698.0)	(32.0, 77683.0)	(33.0, 89197.0)	(34.0, 98252.0)	(35.0, 108730.0)	(36.0, 107475.0)	(37.0, 75349.0)	(38.0, 21000.0)	(39.0, 2246.0)	(40.0, 14.0)								
ERR1755910_2	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 6.0)	(17.0, 36.0)	(18.0, 257.0)	(19.0, 1029.0)	(20.0, 3067.0)	(21.0, 5465.0)	(22.0, 8611.0)	(23.0, 12071.0)	(24.0, 16288.0)	(25.0, 21635.0)	(26.0, 27731.0)	(27.0, 35117.0)	(28.0, 43630.0)	(29.0, 53193.0)	(30.0, 64476.0)	(31.0, 79397.0)	(32.0, 98793.0)	(33.0, 119772.0)	(34.0, 138498.0)	(35.0, 143034.0)	(36.0, 115961.0)	(37.0, 58459.0)	(38.0, 11055.0)	(39.0, 1744.0)	(40.0, 8.0)								
ERR1755912_1	(14.0, 1.0)	(15.0, 3.0)	(16.0, 34.0)	(17.0, 281.0)	(18.0, 1173.0)	(19.0, 3614.0)	(20.0, 7957.0)	(21.0, 12836.0)	(22.0, 18509.0)	(23.0, 24373.0)	(24.0, 31016.0)	(25.0, 38337.0)	(26.0, 45310.0)	(27.0, 52873.0)	(28.0, 59058.0)	(29.0, 63901.0)	(30.0, 68724.0)	(31.0, 77036.0)	(32.0, 89161.0)	(33.0, 102774.0)	(34.0, 113510.0)	(35.0, 125159.0)	(36.0, 125907.0)	(37.0, 100738.0)	(38.0, 41528.0)	(39.0, 2484.0)	(40.0, 6.0)											
ERR1755912_2	(13.0, 4.0)	(14.0, 2.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 25.0)	(18.0, 234.0)	(19.0, 979.0)	(20.0, 2793.0)	(21.0, 5234.0)	(22.0, 8630.0)	(23.0, 12932.0)	(24.0, 18201.0)	(25.0, 24617.0)	(26.0, 31553.0)	(27.0, 39692.0)	(28.0, 49873.0)	(29.0, 60229.0)	(30.0, 71620.0)	(31.0, 86797.0)	(32.0, 105002.0)	(33.0, 125525.0)	(34.0, 146701.0)	(35.0, 158051.0)	(36.0, 141673.0)	(37.0, 86788.0)	(38.0, 25463.0)	(39.0, 3673.0)	(40.0, 11.0)										
ERR1755913_1	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 17.0)	(17.0, 115.0)	(18.0, 632.0)	(19.0, 2414.0)	(20.0, 5259.0)	(21.0, 8661.0)	(22.0, 12208.0)	(23.0, 16400.0)	(24.0, 21050.0)	(25.0, 25878.0)	(26.0, 32020.0)	(27.0, 38156.0)	(28.0, 43525.0)	(29.0, 48382.0)	(30.0, 50296.0)	(31.0, 51074.0)	(32.0, 57217.0)	(33.0, 66605.0)	(34.0, 74216.0)	(35.0, 84203.0)	(36.0, 94860.0)	(37.0, 88468.0)	(38.0, 40524.0)	(39.0, 2342.0)	(40.0, 7.0)							
ERR1755913_2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 4.0)	(17.0, 26.0)	(18.0, 166.0)	(19.0, 726.0)	(20.0, 2261.0)	(21.0, 4602.0)	(22.0, 7327.0)	(23.0, 10904.0)	(24.0, 15106.0)	(25.0, 19215.0)	(26.0, 24488.0)	(27.0, 29103.0)	(28.0, 34830.0)	(29.0, 40397.0)	(30.0, 47558.0)	(31.0, 56745.0)	(32.0, 69137.0)	(33.0, 83185.0)	(34.0, 97973.0)	(35.0, 109707.0)	(36.0, 108649.0)	(37.0, 78425.0)	(38.0, 22698.0)	(39.0, 1289.0)	(40.0, 6.0)								
ERR1755917_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 37.0)	(17.0, 312.0)	(18.0, 1246.0)	(19.0, 3836.0)	(20.0, 8405.0)	(21.0, 14249.0)	(22.0, 21033.0)	(23.0, 28364.0)	(24.0, 36657.0)	(25.0, 45524.0)	(26.0, 54083.0)	(27.0, 62079.0)	(28.0, 69401.0)	(29.0, 74964.0)	(30.0, 78081.0)	(31.0, 82752.0)	(32.0, 92909.0)	(33.0, 104581.0)	(34.0, 117775.0)	(35.0, 133821.0)	(36.0, 139090.0)	(37.0, 108172.0)	(38.0, 36214.0)	(39.0, 3780.0)	(40.0, 10.0)										
ERR1755917_2	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 38.0)	(18.0, 236.0)	(19.0, 898.0)	(20.0, 2784.0)	(21.0, 5521.0)	(22.0, 8893.0)	(23.0, 12951.0)	(24.0, 17760.0)	(25.0, 23712.0)	(26.0, 30769.0)	(27.0, 38186.0)	(28.0, 47536.0)	(29.0, 58650.0)	(30.0, 72191.0)	(31.0, 89819.0)	(32.0, 112843.0)	(33.0, 139779.0)	(34.0, 167288.0)	(35.0, 180881.0)	(36.0, 166452.0)	(37.0, 107610.0)	(38.0, 28446.0)	(39.0, 4096.0)	(40.0, 32.0)										
ERR1755919_1	(17.0, 2.0)	(18.0, 6.0)	(19.0, 47.0)	(20.0, 123.0)	(21.0, 331.0)	(22.0, 606.0)	(23.0, 1260.0)	(24.0, 2122.0)	(25.0, 3322.0)	(26.0, 5468.0)	(27.0, 8958.0)	(28.0, 13962.0)	(29.0, 21786.0)	(30.0, 34560.0)	(31.0, 53842.0)	(32.0, 86102.0)	(33.0, 144670.0)	(34.0, 241570.0)	(35.0, 366559.0)	(36.0, 451241.0)	(37.0, 413414.0)	(38.0, 183263.0)	(39.0, 10752.0)	(40.0, 110.0)														
ERR1755919_2	(14.0, 1.0)	(15.0, 4.0)	(16.0, 6.0)	(17.0, 13.0)	(18.0, 33.0)	(19.0, 99.0)	(20.0, 285.0)	(21.0, 550.0)	(22.0, 832.0)	(23.0, 1319.0)	(24.0, 2362.0)	(25.0, 4031.0)	(26.0, 6876.0)	(27.0, 11757.0)	(28.0, 19490.0)	(29.0, 33476.0)	(30.0, 57922.0)	(31.0, 100059.0)	(32.0, 170266.0)	(33.0, 269789.0)	(34.0, 373659.0)	(35.0, 418207.0)	(36.0, 344614.0)	(37.0, 182818.0)	(38.0, 41979.0)	(39.0, 3606.0)	(40.0, 23.0)											
