Sample	Unique Reads	Duplicate Reads
ERR562434_2	128337	2096229
ERR562441_1	48703	1941898
ERR562441_2	61440	1929161
ERR562451_1	410266	1991636
ERR562451_2	323754	2078148
ERR562452_1	109968	2645731
ERR562452_2	209789	2545910
ERR562457_1	84018	2306570
ERR562457_2	125375	2265213
ERR562470_1	43834	772346
ERR562470_2	64882	751298
ERR562471_1	125216	380289
ERR562471_2	137861	367644
ERR562498_1	81631	3117936
ERR562498_2	102634	3096933
ERR562500_1	62651	1764517
ERR562500_2	93254	1733914
ERR562516_1	37793	929225
ERR562516_2	60591	906427
ERR562517_1	55402	1731172
ERR562517_2	83488	1703086
ERR562530_1	107298	1927132
ERR562530_2	229212	1805218
ERR562532_1	100064	2165168
ERR562532_2	155583	2109649
ERR562542_1	58216	2928924
ERR562542_2	96527	2890613
ERR562549_1	116763	3432517
ERR562549_2	183993	3365287
ERR562551_1	202622	1984317
ERR562551_2	394939	1792000
ERR562561_1	56492	85638
ERR562561_2	37905	104225
ERR562566_1	113863	2503682
ERR562566_2	241662	2375883
ERR562585_1	33105	764360
ERR562585_2	60183	737282
ERR562588_1	113532	3405796
ERR562588_2	202471	3316857
ERR562590_1	51467	2151831
ERR562590_2	62226	2141072
ERR562602_1	70437	390597
ERR562602_2	49920	411114
ERR562611_1	71283	1729285
ERR562611_2	146222	1654346
ERR562614_1	76619	2493703
ERR562614_2	100021	2470301
ERR562616_1	82096	2432814
ERR562616_2	114401	2400509
ERR562619_1	116098	2204979
ERR562619_2	259805	2061272
ERR562638_1	62935	1962447
ERR562638_2	115906	1909476
ERR562643_1	98014	2600620
ERR562643_2	295115	2403519
ERR562646_1	108712	2322509
ERR562646_2	243788	2187433
ERR562647_1	91419	2970917
ERR562647_2	163129	2899207
ERR562657_1	49376	1893896
ERR562657_2	72377	1870895
ERR562659_1	89343	3152642
ERR562659_2	133379	3108606
ERR562664_1	55830	1759008
ERR562664_2	80944	1733894
ERR562665_1	81663	1653687
ERR562665_2	153724	1581626
ERR562667_1	229349	1904064
ERR562667_2	459092	1674321
ERR562670_1	93073	2467991
ERR562670_2	138601	2422463
ERR562700_1	65149	2164131
ERR562700_2	100170	2129110
ERR562702_1	54013	1564982
ERR562702_2	80757	1538238
